Project,Prospect,SiteID,SiteType,DepthFrom,DepthTo,MagSus,Units
PROMHILL,,DP002,DH,286.0,288.0,1.37,
PROMHILL,,DP002,DH,288.0,290.0,1.63,
PROMHILL,,DP002,DH,290.0,292.0,1.52,
PROMHILL,,DP002,DH,292.0,294.0,1.2,
PROMHILL,,DP002,DH,294.0,296.0,1.43,
PROMHILL,,DP002,DH,296.0,298.0,1.8,
PROMHILL,,DP002,DH,298.0,300.0,1.52,
PROMHILL,,DP002,DH,300.0,302.0,1.57,
PROMHILL,,DP002,DH,302.0,304.0,2.35,
PROMHILL,,DP002,DH,304.0,306.0,1.83,
PROMHILL,,DP002,DH,306.0,308.0,1.09,
PROMHILL,,DP002,DH,308.0,310.0,1.75,
PROMHILL,,DP002,DH,310.0,312.0,2.32,
PROMHILL,,DP002,DH,312.0,314.0,1.49,
PROMHILL,,DP002,DH,314.0,316.0,1.36,
PROMHILL,,DP002,DH,316.0,318.0,1.49,
PROMHILL,,DP002,DH,318.0,320.0,1.0,
PROMHILL,,DP002,DH,320.0,322.0,1.57,
PROMHILL,,DP002,DH,322.0,324.0,1.75,
PROMHILL,,DP002,DH,324.0,326.0,2.2,
PROMHILL,,DP002,DH,326.0,328.0,1.95,
PROMHILL,,DP002,DH,328.0,330.0,2.52,
PROMHILL,,DP002,DH,330.0,332.0,2.78,
PROMHILL,,DP002,DH,332.0,334.0,2.03,
PROMHILL,,DP002,DH,334.0,336.0,2.16,
PROMHILL,,DP002,DH,336.0,338.0,2.23,
PROMHILL,,DP002,DH,338.0,340.0,1.55,
PROMHILL,,DP002,DH,340.0,342.0,1.22,
PROMHILL,,DP002,DH,342.0,344.0,1.87,
PROMHILL,,DP002,DH,344.0,346.0,1.0,
PROMHILL,,DP002,DH,346.0,348.0,1.67,
PROMHILL,,DP002,DH,348.0,350.0,1.12,
PROMHILL,,DP002,DH,350.0,352.0,1.5,
PROMHILL,,DP002,DH,352.0,354.0,1.62,
PROMHILL,,DP002,DH,354.0,356.0,0.72,
PROMHILL,,DP002,DH,356.0,358.0,1.95,
PROMHILL,,DP002,DH,358.0,360.0,1.42,
PROMHILL,,DP002,DH,360.0,362.0,1.2,
PROMHILL,,DP002,DH,362.0,364.0,1.32,
PROMHILL,,DP002,DH,364.0,366.0,1.47,
PROMHILL,,DP002,DH,366.0,368.0,1.22,
PROMHILL,,DP002,DH,368.0,370.0,1.52,
PROMHILL,,DP002,DH,370.0,372.0,1.02,
PROMHILL,,DP002,DH,372.0,374.0,1.5,
PROMHILL,,DP002,DH,374.0,376.0,1.52,
PROMHILL,,DP002,DH,376.0,378.0,1.76,
PROMHILL,,DP002,DH,378.0,380.0,2.15,
PROMHILL,,DP002,DH,380.0,382.0,0.02,
PROMHILL,,DP002,DH,382.0,384.0,2.41,
PROMHILL,,DP002,DH,384.0,386.0,1.72,
PROMHILL,,DP002,DH,386.0,388.0,1.95,
PROMHILL,,DP002,DH,388.0,390.0,1.06,
PROMHILL,,DP002,DH,390.0,392.0,1.69,
PROMHILL,,DP002,DH,392.0,394.0,1.63,
PROMHILL,,DP002,DH,394.0,396.0,2.52,
PROMHILL,,DP002,DH,396.0,398.0,2.32,
PROMHILL,,DP002,DH,398.0,400.0,2.64,
PROMHILL,,DP002,DH,400.0,402.0,3.07,
PROMHILL,,DP002,DH,402.0,404.0,1.52,
PROMHILL,,DP002,DH,404.0,406.0,1.46,
PROMHILL,,DP002,DH,406.0,408.0,0.77,
PROMHILL,,DP002,DH,408.0,410.0,1.03,
PROMHILL,,DP002,DH,410.0,412.0,1.14,
PROMHILL,,DP002,DH,412.0,414.0,0.97,
PROMHILL,,DP002,DH,414.0,416.0,1.06,
PROMHILL,,DP002,DH,416.0,418.0,0.56,
PROMHILL,,DP002,DH,418.0,420.0,0.82,
PROMHILL,,DP002,DH,420.0,422.0,0.58,
PROMHILL,,DP002,DH,422.0,424.0,0.62,
PROMHILL,,DP002,DH,424.0,426.0,0.69,
PROMHILL,,DP002,DH,426.0,428.0,0.64,
PROMHILL,,DP002,DH,428.0,430.0,0.75,
PROMHILL,,DP002,DH,430.0,432.0,0.75,
PROMHILL,,DP002,DH,432.0,434.0,0.73,
PROMHILL,,DP002,DH,434.0,436.0,0.69,
PROMHILL,,DP002,DH,436.0,438.0,0.65,
PROMHILL,,DP002,DH,438.0,440.0,0.69,
PROMHILL,,DP002,DH,440.0,442.0,0.56,
PROMHILL,,DP002,DH,442.0,444.0,0.51,
PROMHILL,,DP002,DH,444.0,446.0,0.8,
PROMHILL,,DP002,DH,446.0,448.0,0.54,
PROMHILL,,DP002,DH,448.0,450.0,0.51,
PROMHILL,,DP002,DH,450.0,452.0,0.54,
PROMHILL,,DP002,DH,452.0,454.0,0.4,
PROMHILL,,DP002,DH,454.0,456.0,0.65,
PROMHILL,,DP003,DH,121.6,123.0,0.19,
PROMHILL,,DP003,DH,123.0,124.0,0.28,
PROMHILL,,DP003,DH,124.0,126.0,1.37,
PROMHILL,,DP003,DH,126.0,128.0,2.23,
PROMHILL,,DP003,DH,128.0,130.0,1.11,
PROMHILL,,DP003,DH,130.0,132.0,1.0,
PROMHILL,,DP003,DH,132.0,134.0,2.41,
PROMHILL,,DP003,DH,134.0,136.0,1.52,
PROMHILL,,DP003,DH,136.0,138.0,1.57,
PROMHILL,,DP003,DH,138.0,140.0,1.26,
PROMHILL,,DP003,DH,140.0,142.0,0.86,
PROMHILL,,DP003,DH,142.0,144.0,0.77,
PROMHILL,,DP003,DH,144.0,146.0,0.54,
PROMHILL,,DP003,DH,146.0,148.0,0.57,
PROMHILL,,DP003,DH,148.0,150.0,0.68,
PROMHILL,,DP003,DH,150.0,152.0,1.23,
PROMHILL,,DP003,DH,152.0,154.0,1.17,
PROMHILL,,DP003,DH,154.0,156.0,0.8,
PROMHILL,,DP003,DH,156.0,158.0,0.97,
PROMHILL,,DP003,DH,158.0,160.0,1.14,
PROMHILL,,DP003,DH,160.0,162.0,1.06,
PROMHILL,,DP003,DH,162.0,164.0,0.97,
PROMHILL,,DP003,DH,164.0,166.0,0.91,
PROMHILL,,DP003,DH,166.0,168.0,1.75,
PROMHILL,,DP003,DH,168.0,170.0,0.74,
PROMHILL,,DP003,DH,170.0,172.0,2.32,
PROMHILL,,DP003,DH,172.0,174.0,0.68,
PROMHILL,,DP003,DH,174.0,176.0,0.71,
PROMHILL,,DP003,DH,176.0,178.0,0.74,
PROMHILL,,DP003,DH,178.0,180.0,0.86,
PROMHILL,,DP003,DH,180.0,182.0,0.83,
PROMHILL,,DP003,DH,182.0,184.0,0.8,
PROMHILL,,DP003,DH,184.0,186.0,0.53,
PROMHILL,,DP003,DH,186.0,188.0,0.49,
PROMHILL,,DP003,DH,188.0,190.0,0.34,
PROMHILL,,DP003,DH,190.0,192.0,0.64,
PROMHILL,,DP003,DH,192.0,194.0,0.8,
PROMHILL,,DP003,DH,194.0,196.0,0.32,
PROMHILL,,DP003,DH,196.0,198.0,0.32,
PROMHILL,,DP003,DH,198.0,200.0,0.31,
PROMHILL,,DP003,DH,200.0,202.0,0.73,
PROMHILL,,DP003,DH,202.0,204.0,0.71,
PROMHILL,,DP003,DH,204.0,206.0,0.75,
PROMHILL,,DP003,DH,206.0,208.0,0.43,
PROMHILL,,DP003,DH,208.0,210.0,0.84,
PROMHILL,,DP003,DH,210.0,212.0,0.78,
PROMHILL,,DP003,DH,212.0,214.0,0.89,
PROMHILL,,DP003,DH,214.0,216.0,0.54,
PROMHILL,,DP003,DH,216.0,218.0,0.47,
PROMHILL,,DP003,DH,218.0,220.0,0.89,
PROMHILL,,DP003,DH,220.0,222.0,0.87,
PROMHILL,,DP003,DH,222.0,224.0,0.73,
PROMHILL,,DP003,DH,224.0,226.0,0.8,
PROMHILL,,DP003,DH,226.0,228.0,0.73,
PROMHILL,,DP003,DH,228.0,230.0,0.95,
PROMHILL,,DP003,DH,230.0,232.0,0.8,
PROMHILL,,DP003,DH,232.0,234.0,0.91,
PROMHILL,,DP003,DH,234.0,236.0,0.93,
PROMHILL,,DP003,DH,236.0,238.0,0.69,
PROMHILL,,DP003,DH,238.0,240.0,0.62,
PROMHILL,,DP003,DH,240.0,242.0,0.69,
PROMHILL,,DP003,DH,242.0,244.0,1.17,
PROMHILL,,DP003,DH,244.0,246.0,0.8,
PROMHILL,,DP003,DH,246.0,248.0,0.87,
PROMHILL,,DP003,DH,248.0,250.0,0.65,
PROMHILL,,DP003,DH,250.0,252.0,0.51,
PROMHILL,,DP003,DH,252.0,254.0,0.43,
PROMHILL,,DP003,DH,254.0,256.0,0.6,
PROMHILL,,DP003,DH,256.0,258.0,0.89,
PROMHILL,,DP003,DH,258.0,260.0,0.51,
PROMHILL,,DP003,DH,260.0,262.0,0.42,
PROMHILL,,DP003,DH,262.0,264.0,0.27,
PROMHILL,,DP003,DH,264.0,266.0,0.29,
PROMHILL,,DP003,DH,266.0,268.0,0.31,
PROMHILL,,DP003,DH,268.0,270.0,0.4,
PROMHILL,,DP003,DH,270.0,272.0,0.31,
PROMHILL,,DP003,DH,272.0,274.0,0.45,
PROMHILL,,DP003,DH,274.0,276.0,0.45,
PROMHILL,,DP003,DH,276.0,278.0,0.49,
PROMHILL,,DP003,DH,278.0,280.0,0.49,
PROMHILL,,DP003,DH,280.0,282.0,0.6,
PROMHILL,,DP003,DH,282.0,284.0,0.71,
PROMHILL,,DP003,DH,284.0,286.0,0.64,
PROMHILL,,DP003,DH,286.0,288.0,0.64,
PROMHILL,,DP003,DH,288.0,290.0,0.71,
PROMHILL,,DP003,DH,290.0,292.0,0.67,
PROMHILL,,DP003,DH,292.0,294.0,0.71,
PROMHILL,,DP003,DH,294.0,296.0,0.82,
PROMHILL,,DP003,DH,296.0,298.0,0.58,
PROMHILL,,DP003,DH,298.0,300.0,0.43,
PROMHILL,,DP003,DH,300.0,302.0,0.31,
PROMHILL,,DP003,DH,302.0,304.0,0.34,
PROMHILL,,DP003,DH,304.0,306.0,0.34,
PROMHILL,,DP003,DH,306.0,308.0,0.4,
PROMHILL,,DP003,DH,308.0,310.0,0.36,
PROMHILL,,DP003,DH,310.0,312.0,0.43,
PROMHILL,,DP003,DH,312.0,314.0,0.32,
PROMHILL,,DP003,DH,314.0,316.0,0.23,
PROMHILL,,DP003,DH,316.0,318.0,0.34,
PROMHILL,,DP003,DH,318.0,320.0,0.42,
PROMHILL,,DP003,DH,320.0,322.0,0.27,
PROMHILL,,DP003,DH,322.0,324.0,0.23,
PROMHILL,,DP003,DH,324.0,326.0,0.21,
PROMHILL,,DP003,DH,326.0,328.0,0.27,
PROMHILL,,DP003,DH,328.0,330.0,0.36,
PROMHILL,,DP003,DH,330.0,332.0,0.29,
PROMHILL,,DP003,DH,332.0,334.0,0.45,
PROMHILL,,DP003,DH,334.0,336.0,0.27,
PROMHILL,,DP003,DH,336.0,338.0,0.25,
PROMHILL,,DP003,DH,338.0,340.0,0.27,
PROMHILL,,DP003,DH,340.0,342.0,0.31,
PROMHILL,,DP003,DH,342.0,344.0,0.29,
PROMHILL,,DP003,DH,344.0,346.0,0.34,
PROMHILL,,DP003,DH,346.0,348.0,0.34,
PROMHILL,,DP003,DH,348.0,350.0,0.29,
PROMHILL,,DP003,DH,350.0,352.0,0.29,
PROMHILL,,DP003,DH,352.0,354.0,0.31,
PROMHILL,,DP003,DH,354.0,356.0,0.27,
PROMHILL,,DP003,DH,356.0,358.0,0.27,
PROMHILL,,DP003,DH,358.0,360.0,0.32,
PROMHILL,,DP003,DH,360.0,362.0,0.29,
PROMHILL,,DP003,DH,362.0,364.0,0.29,
PROMHILL,,DP003,DH,364.0,366.0,0.25,
PROMHILL,,DP003,DH,366.0,368.0,0.25,
PROMHILL,,DP003,DH,368.0,370.0,0.32,
PROMHILL,,DP003,DH,370.0,372.0,0.32,
PROMHILL,,DP003,DH,372.0,374.0,0.38,
PROMHILL,,DP003,DH,374.0,376.0,59.1,
PROMHILL,,DP003,DH,376.0,378.0,58.8,
PROMHILL,,DP003,DH,378.0,380.0,25.3,
PROMHILL,,DP003,DH,380.0,382.0,0.89,
PROMHILL,,DP003,DH,382.0,384.0,21.1,
PROMHILL,,DP003,DH,384.0,386.0,8.98,
PROMHILL,,DP003,DH,386.0,388.0,20.0,
PROMHILL,,DP003,DH,388.0,390.0,14.8,
PROMHILL,,DP003,DH,390.0,392.0,11.8,
PROMHILL,,DP003,DH,392.0,394.0,23.8,
PROMHILL,,DP003,DH,394.0,396.0,16.2,
PROMHILL,,DP003,DH,396.0,398.0,0.98,
PROMHILL,,DP003,DH,398.0,400.0,0.71,
PROMHILL,,DP003,DH,400.0,402.0,0.36,
PROMHILL,,DP003,DH,402.0,404.0,0.65,
PROMHILL,,DP003,DH,404.0,406.0,0.51,
PROMHILL,,DP003,DH,406.0,408.0,0.56,
PROMHILL,,DP003,DH,408.0,410.0,0.71,
PROMHILL,,DP003,DH,410.0,412.0,0.65,
PROMHILL,,DP003,DH,412.0,414.0,0.71,
PROMHILL,,DP003,DH,414.0,416.0,0.58,
PROMHILL,,DP003,DH,416.0,418.0,1.03,
PROMHILL,,DP003,DH,418.0,420.0,0.78,
PROMHILL,,DP003,DH,420.0,422.0,0.69,
PROMHILL,,DP003,DH,422.0,424.0,1.31,
PROMHILL,,DP003,DH,424.0,426.0,1.06,
PROMHILL,,DP003,DH,426.0,428.0,1.0,
PROMHILL,,DP003,DH,428.0,430.0,1.22,
PROMHILL,,DP003,DH,430.0,432.0,0.71,
PROMHILL,,DP003,DH,432.0,434.0,2.1,
PROMHILL,,DP003,DH,434.0,436.0,12.0,
PROMHILL,,DP003,DH,436.0,438.0,3.58,
PROMHILL,,DP003,DH,438.0,440.0,105.0,
PROMHILL,,DP003,DH,440.0,442.0,12.9,
PROMHILL,,DP003,DH,442.0,444.0,6.66,
PROMHILL,,DP003,DH,444.0,446.0,2.04,
PROMHILL,,DP003,DH,446.0,448.0,1.4,
PROMHILL,,DP003,DH,448.0,450.0,0.48,
PROMHILL,,DP003,DH,450.0,452.0,0.59,
PROMHILL,,DP003,DH,452.0,454.0,0.39,
PROMHILL,,DP003,DH,454.0,456.0,0.36,
PROMHILL,,DP003,DH,456.0,458.0,0.57,
PROMHILL,,DP003,DH,458.0,460.0,0.64,
PROMHILL,,DP003,DH,460.0,462.0,0.51,
PROMHILL,,DP003,DH,462.0,464.0,0.39,
PROMHILL,,DP003,DH,464.0,466.0,0.65,
PROMHILL,,DP003,DH,466.0,468.0,0.59,
PROMHILL,,DP003,DH,468.0,470.0,0.87,
PROMHILL,,DP003,DH,470.0,472.0,0.71,
PROMHILL,,DP003,DH,472.0,474.0,41.1,
PROMHILL,,DP003,DH,474.0,476.0,32.4,
PROMHILL,,DP003,DH,476.0,478.0,2.01,
PROMHILL,,DP003,DH,478.0,480.0,0.56,
PROMHILL,,DP003,DH,480.0,482.0,1.75,
PROMHILL,,DP003,DH,482.0,484.0,1.2,
PROMHILL,,DP003,DH,484.0,486.0,1.89,
PROMHILL,,DP003,DH,486.0,488.0,1.29,
PROMHILL,,DP003,DH,488.0,490.0,2.66,
PROMHILL,,DP003,DH,490.0,492.0,2.92,
PROMHILL,,DP003,DH,492.0,494.0,2.87,
PROMHILL,,DP003,DH,494.0,496.0,2.43,
PROMHILL,,DP003,DH,496.0,498.0,1.4,
PROMHILL,,DP003,DH,498.0,500.0,2.75,
PROMHILL,,DP003,DH,500.0,502.0,1.92,
PROMHILL,,DP003,DH,502.0,504.0,1.8,
PROMHILL,,DP003,DH,504.0,506.0,12.7,
PROMHILL,,DP003,DH,506.0,508.0,16.0,
PROMHILL,,DP003,DH,508.0,510.0,50.5,
PROMHILL,,DP003,DH,510.0,512.0,2.84,
PROMHILL,,DP003,DH,512.0,514.0,1.54,
PROMHILL,,DP003,DH,514.0,516.0,2.98,
PROMHILL,,DP003,DH,516.0,518.0,1.83,
PROMHILL,,DP003,DH,518.0,520.0,5.25,
PROMHILL,,DP003,DH,520.0,522.0,1.54,
PROMHILL,,DP003,DH,522.0,524.0,1.06,
PROMHILL,,DP003,DH,524.0,526.0,1.23,
PROMHILL,,DP003,DH,526.0,528.0,1.29,
PROMHILL,,DP003,DH,528.0,530.0,1.4,
PROMHILL,,DP003,DH,530.0,532.0,1.66,
PROMHILL,,DP003,DH,532.0,534.0,1.8,
PROMHILL,,DP003,DH,534.0,536.0,1.86,
PROMHILL,,DP003,DH,536.0,538.0,1.77,
PROMHILL,,DP003,DH,538.0,540.0,2.0,
PROMHILL,,DP003,DH,540.0,542.0,1.86,
PROMHILL,,DP003,DH,542.0,544.0,1.06,
PROMHILL,,DP003,DH,544.0,546.0,1.52,
PROMHILL,,DP003,DH,546.0,548.0,1.17,
PROMHILL,,DP003,DH,548.0,550.0,1.23,
PROMHILL,,DP003,DH,550.0,552.0,1.32,
PROMHILL,,DP003,DH,552.0,554.0,1.37,
PROMHILL,,DP003,DH,554.0,556.0,1.66,
PROMHILL,,DP003,DH,556.0,558.0,1.92,
PROMHILL,,DP003,DH,558.0,560.0,1.69,
PROMHILL,,DP003,DH,560.0,562.0,2.09,
PROMHILL,,DP003,DH,562.0,564.0,1.89,
PROMHILL,,DP003,DH,564.0,566.0,1.46,
PROMHILL,,DP003,DH,566.0,568.0,1.09,
PROMHILL,,DP003,DH,568.0,570.0,1.8,
PROMHILL,,DP003,DH,570.0,572.0,1.75,
PROMHILL,,DP003,DH,572.0,574.0,1.77,
PROMHILL,,DP003,DH,574.0,576.0,1.54,
PROMHILL,,DP003,DH,576.0,578.0,1.43,
PROMHILL,,DP003,DH,578.0,580.0,1.49,
PROMHILL,,DP003,DH,580.0,582.0,1.6,
PROMHILL,,DP003,DH,582.0,584.0,1.66,
PROMHILL,,DP003,DH,584.0,586.0,1.43,
PROMHILL,,DP003,DH,586.0,588.0,1.57,
