PROJECT,SITE_ID,DEPTH_FROM,DEPTH_TO,DRILLERRUNLENGTH,CORERECOVERED,RECOVERYPERCENT,RQD,RQDPERCENT,NOFRACTURES,ROCKSTRENGTH,DESCRIPTION
PROMHILL,PH07D346,519.9,525.9,6.0,6.09,101.5,6.09,100.0,11,R4,Strong Rock
PROMHILL,PH07D346,525.9,531.9,6.0,5.92,99.5,5.79,96.5,16,R4,Strong Rock
PROMHILL,PH07D346,531.9,534.4,2.5,2.2,102.4,1.79,71.6,44,R4,Strong Rock
PROMHILL,PH07D346,534.4,539.6,5.2,5.2,100.0,4.79,92.12,17,R4,Strong Rock
PROMHILL,PH07D346,539.6,543.1,3.5,3.03,96.0,2.57,73.43,19,R4,Strong Rock
PROMHILL,PH07D346,543.1,549.6,6.5,6.45,100.15,6.0,92.31,30,R4,Strong Rock
PROMHILL,PH07D346,549.6,553.7,4.1,3.99,97.32,3.88,94.63,11,R4,Strong Rock
PROMHILL,PH07D346,553.7,558.7,5.0,4.87,97.4,4.78,95.6,9,R4,Strong Rock
PROMHILL,PH07D346,558.7,564.8,6.1,6.27,102.79,6.17,100.0,16,R4,Strong Rock
PROMHILL,PH07D346,564.8,570.9,6.1,6.08,99.67,5.99,98.2,11,R4,Strong Rock
PROMHILL,PH07D346,570.9,576.8,5.9,5.77,97.8,5.64,95.59,14,R4,Strong Rock
PROMHILL,PH07D346,576.8,581.0,4.2,4.15,100.0,4.11,97.86,8,R3,Medium Strong Rock
PROMHILL,PH07D346,581.0,587.5,6.5,6.52,100.92,6.52,100.0,4,R5,Very Strong Rock
PROMHILL,PH07D346,587.5,594.0,6.5,6.51,100.15,6.42,98.77,6,R4,Strong Rock
PROMHILL,PH07D346,594.0,598.2,4.2,2.5,97.14,2.2,52.38,9999,R3,Medium Strong Rock
PROMHILL,PH07D346,598.2,601.4,3.2,2.94,95.63,2.92,91.25,4,R3,Medium Strong Rock
PROMHILL,PH07D346,601.4,606.9,5.5,5.6,101.82,5.55,100.0,12,R4,Strong Rock
PROMHILL,PH07D346,606.9,612.6,5.7,5.6,100.0,5.33,93.51,19,R4,Strong Rock
PROMHILL,PH07D346,612.6,616.7,4.1,4.01,97.8,3.85,93.9,9,R4,Strong Rock
PROMHILL,PH07D346,616.7,621.9,5.2,5.26,101.92,5.26,100.0,3,R6,Extremely Strong Rock
PROMHILL,PH07D346,621.9,627.9,6.0,6.18,103.33,6.18,100.0,4,R5,Very Strong Rock
PROMHILL,PH07D346,627.9,633.9,6.0,6.04,100.67,5.92,98.67,8,R5,Very Strong Rock
PROMHILL,PH07D346,633.9,639.5,5.6,5.11,97.68,4.78,85.36,20,R5,Very Strong Rock
PROMHILL,PH07D346,639.5,645.9,6.4,6.47,101.09,6.47,100.0,4,R4,Strong Rock
PROMHILL,PH07D346,645.9,651.9,6.0,5.8,100.0,5.65,94.17,19,R4,Strong Rock
PROMHILL,PH07D346,651.9,657.9,6.0,6.1,101.67,6.1,100.0,7,R4,Strong Rock
PROMHILL,PH07D346,657.9,663.9,6.0,5.95,99.17,5.95,99.17,4,R4,Strong Rock
PROMHILL,PH07D346,663.9,669.9,6.0,5.85,100.0,5.85,97.5,8,R4,Strong Rock
PROMHILL,PH07D346,669.9,675.9,6.0,6.1,101.67,5.97,99.5,4,R4,Strong Rock
PROMHILL,PH07D346,675.9,681.9,6.0,5.95,100.0,5.95,99.17,8,R4,Strong Rock
PROMHILL,PH07D346,681.9,687.9,6.0,6.0,100.0,6.0,100.0,1,R4,Strong Rock
PROMHILL,PH07D346,687.9,693.9,6.0,6.0,100.0,6.0,100.0,4,R4,Strong Rock
PROMHILL,PH07D346,693.9,694.8,0.9,0.9,100.0,0.9,100.0,0,R4,Strong Rock
PROMHILL,PH07D346,694.8,699.3,4.5,4.4,100.0,4.4,97.78,5,R4,Strong Rock
PROMHILL,PH07D346,699.3,705.8,6.5,6.38,98.46,6.38,98.15,7,R4,Strong Rock
PROMHILL,PH07D346,705.8,711.9,6.1,6.1,100.0,6.1,100.0,7,R4,Strong Rock
PROMHILL,PH07D346,711.9,717.9,6.0,6.1,100.0,6.01,100.0,8,R4,Strong Rock
PROMHILL,PH07D346,717.9,723.9,6.0,5.8,100.0,5.8,96.67,9,R4,Strong Rock
PROMHILL,PH07D346,723.9,729.9,6.0,6.0,100.0,6.0,100.0,6,R4,Strong Rock
PROMHILL,PH07D346,729.9,735.9,6.0,6.08,101.5,5.96,99.33,14,R4,Strong Rock
PROMHILL,PH07D346,735.9,741.9,6.0,5.86,100.83,5.82,97.0,19,R4,Strong Rock
PROMHILL,PH07D346,741.9,746.9,5.0,4.5,98.8,4.36,87.2,36,R4,Strong Rock
PROMHILL,PH07D346,746.9,753.4,6.5,6.22,97.69,5.31,81.69,38,R4,Strong Rock
PROMHILL,PH07D346,753.4,759.9,6.5,6.03,96.92,6.87,100.0,24,R4,Strong Rock
PROMHILL,PH07D346,759.9,765.9,6.0,5.97,99.5,5.75,95.83,24,R4,Strong Rock
PROMHILL,PH07D346,765.9,771.9,6.0,5.94,100.33,5.72,95.33,27,R4,Strong Rock
PROMHILL,PH07D346,771.9,777.9,6.0,5.6,96.67,3.1,51.67,85,R4,Strong Rock
PROMHILL,PH07D346,777.9,783.9,6.0,6.08,101.33,6.04,100.0,9,R4,Strong Rock
PROMHILL,PH07D346,783.9,789.9,6.0,5.98,100.0,5.98,99.67,9,R4,Strong Rock
PROMHILL,PH07D346,789.9,795.9,6.0,6.04,100.67,6.04,100.0,2,R4,Strong Rock
PROMHILL,PH07D346,795.9,801.9,6.0,6.0,100.33,6.0,100.0,6,R4,Strong Rock
PROMHILL,PH07D346,801.9,807.9,6.0,5.89,99.83,5.64,94.0,31,R4,Strong Rock
PROMHILL,PH07D346,807.9,813.9,6.0,6.01,100.83,5.88,98.0,19,R4,Strong Rock
PROMHILL,PH07D346,813.9,819.9,6.0,5.81,99.67,5.46,91.0,40,R4,Strong Rock
PROMHILL,PH07D346,819.9,825.9,6.0,5.89,98.33,5.77,96.17,10,R4,Strong Rock
PROMHILL,PH07D346,825.9,831.9,6.0,6.16,102.83,6.16,100.0,2,R4,Strong Rock
PROMHILL,PH07D346,831.9,837.9,6.0,5.89,98.83,5.8,96.67,19,R4,Strong Rock
PROMHILL,PH07D346,837.9,843.9,6.0,6.06,101.0,5.8,96.67,15,R4,Strong Rock
PROMHILL,PH07D346,843.9,849.9,6.0,5.76,98.5,5.63,93.83,31,R4,Strong Rock
PROMHILL,PH07D346,849.9,855.9,6.0,6.14,102.67,5.77,96.17,17,R4,Strong Rock
PROMHILL,PH07D346,855.9,861.9,6.0,5.94,100.83,5.94,99.0,12,R4,Strong Rock
PROMHILL,PH07D346,861.9,863.6,1.7,1.75,102.94,1.75,100.0,2,R5,Very Strong Rock
PROMHILL,PH07D346,863.6,870.1,6.5,6.44,100.0,6.38,98.15,12,R4,Strong Rock
PROMHILL,PH07D346,870.1,876.6,6.5,6.41,99.38,6.41,98.62,7,R4,Strong Rock
PROMHILL,PH07D346,876.6,882.9,6.3,6.45,102.38,6.45,100.0,7,R4,Strong Rock
PROMHILL,PH07D346,882.9,888.9,6.0,5.96,100.83,5.75,95.83,22,R4,Strong Rock
PROMHILL,PH07D346,888.9,894.9,6.0,6.03,100.5,5.95,99.17,5,R4,Strong Rock
PROMHILL,PH07D346,894.9,900.9,6.0,6.0,100.33,5.95,99.17,19,R4,Strong Rock
PROMHILL,PH07D346,900.9,906.9,6.0,5.95,100.0,5.92,98.67,11,R4,Strong Rock
PROMHILL,PH08D383,203.4,210.94,7.54,7.38,99.87,7.44,98.67,18,R4,Strong Rock
PROMHILL,PH08D383,210.94,216.78,5.84,5.66,100.0,4.51,77.23,37,R4,Strong Rock
PROMHILL,PH08D383,216.78,222.77,5.99,5.94,99.83,5.98,99.83,5,R4,Strong Rock
PROMHILL,PH08D383,222.77,227.0,4.23,4.19,99.76,4.22,99.76,2,R4,Strong Rock
PROMHILL,PH08D383,227.0,234.83,7.83,7.83,100.0,7.83,100.0,1,R4,Strong Rock
PROMHILL,PH08D383,234.83,240.82,5.99,5.97,100.0,5.99,100.0,3,R4,Strong Rock
PROMHILL,PH08D383,240.82,246.81,5.99,5.91,100.0,5.83,97.33,11,R4,Strong Rock
PROMHILL,PH08D383,246.81,252.81,6.0,5.96,100.0,6.0,100.0,2,R4,Strong Rock
PROMHILL,PH08D383,252.81,254.22,1.41,1.4,100.0,1.41,100.0,3,R4,Strong Rock
PROMHILL,PH08D383,254.22,258.85,4.63,4.4,95.46,4.42,95.46,2,R4,Strong Rock
PROMHILL,PH08D383,258.85,263.47,4.62,4.59,100.0,4.62,100.0,3,R4,Strong Rock
PROMHILL,PH08D383,263.47,265.73,2.26,2.42,110.18,2.49,100.0,1,R4,Strong Rock
PROMHILL,PH08D383,265.73,270.79,5.06,5.06,100.0,4.97,98.22,6,R4,Strong Rock
PROMHILL,PH08D383,270.79,273.56,2.77,2.75,100.0,2.77,100.0,6,R4,Strong Rock
PROMHILL,PH08D383,273.56,275.29,1.73,1.62,100.0,1.58,91.33,15,R4,Strong Rock
PROMHILL,PH08D383,275.29,276.81,1.52,1.49,99.34,1.49,98.03,3,R4,Strong Rock
PROMHILL,PH08D383,276.81,282.39,5.58,5.27,99.82,4.92,88.17,33,R4,Strong Rock
PROMHILL,PH08D383,282.39,284.6,2.21,0.0,67.87,0.0,0.0,9999,R5,Very Strong Rock
PROMHILL,PH08D383,284.6,288.5,3.9,0.56,71.79,0.26,6.67,9999,R5,Very Strong Rock
PROMHILL,PH08D383,288.5,291.1,2.6,0.76,71.54,0.5,19.23,9999,R5,Very Strong Rock
PROMHILL,PH08D383,291.1,294.0,2.9,0.66,65.17,0.14,4.83,9999,R5,Very Strong Rock
PROMHILL,PH08D383,294.0,296.97,2.97,2.83,100.0,2.81,94.61,12,R5,Very Strong Rock
PROMHILL,PH08D383,296.97,298.0,1.03,0.9,98.06,0.11,10.68,24,R5,Very Strong Rock
PROMHILL,PH08D383,298.0,300.0,2.0,0.2,100.0,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D383,300.0,301.51,1.51,0.36,52.98,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D383,301.51,306.92,5.41,5.37,100.0,5.41,100.0,1,R4,Strong Rock
PROMHILL,PH08D383,306.92,309.0,2.08,1.88,100.0,1.93,92.79,9,R4,Strong Rock
PROMHILL,PH08D383,309.0,310.0,1.0,0.64,100.0,0.64,64.0,9999,R4,Strong Rock
PROMHILL,PH08D383,310.0,312.84,2.84,2.78,100.0,2.7,95.07,4,R4,Strong Rock
PROMHILL,PH08D383,312.84,318.79,5.95,5.88,100.0,5.95,100.0,2,R4,Strong Rock
PROMHILL,PH08D383,318.79,320.09,1.3,1.22,99.23,1.22,93.85,9,R4,Strong Rock
PROMHILL,PH08D383,320.09,321.69,1.6,1.04,87.5,0.84,52.5,32,R4,Strong Rock
PROMHILL,PH08D383,321.69,327.88,6.19,6.17,100.0,6.17,99.68,4,R4,Strong Rock
PROMHILL,PH08D383,327.88,333.94,6.06,5.94,98.35,5.92,97.69,6,R4,Strong Rock
PROMHILL,PH08D383,333.94,339.91,5.97,5.98,100.0,5.84,97.82,8,R4,Strong Rock
PROMHILL,PH08D383,339.91,344.21,4.3,4.21,100.0,4.09,95.12,8,R4,Strong Rock
PROMHILL,PH08D383,344.21,349.13,4.92,4.66,97.97,4.52,91.87,14,R4,Strong Rock
PROMHILL,PH08D383,349.13,351.93,2.8,2.73,100.0,2.77,98.93,5,R4,Strong Rock
PROMHILL,PH08D383,351.93,354.0,2.07,2.05,100.0,2.07,100.0,2,R4,Strong Rock
PROMHILL,PH08D383,354.0,355.0,1.0,0.88,90.0,0.79,79.0,9999,R4,Strong Rock
PROMHILL,PH08D383,355.0,357.88,2.88,2.84,100.0,2.88,100.0,3,R4,Strong Rock
PROMHILL,PH08D383,357.88,362.0,4.12,4.04,99.76,4.05,98.3,9,R4,Strong Rock
PROMHILL,PH08D383,362.0,363.0,1.0,0.89,100.0,0.72,72.0,9999,R4,Strong Rock
PROMHILL,PH08D383,363.0,364.15,1.15,1.12,100.0,1.08,93.91,2,R4,Strong Rock
PROMHILL,PH08D383,364.15,369.82,5.67,5.58,100.0,5.6,98.77,13,R4,Strong Rock
PROMHILL,PH08D383,369.82,371.35,1.53,1.46,100.0,1.31,85.62,4,R4,Strong Rock
PROMHILL,PH08D383,371.35,372.0,0.65,0.32,66.15,0.16,24.62,9999,R4,Strong Rock
PROMHILL,PH08D383,372.0,374.71,2.71,2.68,100.0,2.57,94.83,12,R4,Strong Rock
PROMHILL,PH08D383,374.71,379.0,4.29,4.26,100.0,4.11,95.8,17,R5,Very Strong Rock
PROMHILL,PH08D383,379.0,380.49,1.49,1.47,100.0,1.49,100.0,4,R4,Strong Rock
PROMHILL,PH08D383,380.49,385.0,4.51,4.47,100.44,4.51,100.0,4,R4,Strong Rock
PROMHILL,PH08D383,385.0,389.52,4.52,4.5,100.0,4.44,98.23,3,R4,Strong Rock
PROMHILL,PH08D383,389.52,392.79,3.27,3.16,100.0,2.98,91.13,24,R4,Strong Rock
PROMHILL,PH08D383,392.79,395.0,2.21,2.15,99.55,2.2,99.55,3,R4,Strong Rock
PROMHILL,PH08D383,395.0,396.0,1.0,0.65,70.0,0.53,53.0,9999,R4,Strong Rock
PROMHILL,PH08D383,396.0,399.27,3.27,3.21,100.0,3.27,100.0,6,R4,Strong Rock
PROMHILL,PH08D383,399.27,401.04,1.77,1.65,98.87,1.55,87.57,10,R4,Strong Rock
PROMHILL,PH08D383,401.04,405.25,4.21,4.14,98.34,4.14,98.34,6,R4,Strong Rock
PROMHILL,PH08D383,405.25,411.84,6.59,6.5,99.7,6.29,95.45,9,R4,Strong Rock
PROMHILL,PH08D383,411.84,416.2,4.36,4.34,99.54,4.11,94.27,13,R4,Strong Rock
PROMHILL,PH08D383,416.2,421.68,5.48,5.47,99.82,4.3,78.47,9,R4,Strong Rock
PROMHILL,PH08D383,421.68,427.96,6.28,6.24,99.36,6.16,98.09,16,R4,Strong Rock
PROMHILL,PH08D383,427.96,433.07,5.11,5.04,99.41,4.92,96.28,12,R4,Strong Rock
PROMHILL,PH08D383,433.07,435.57,2.5,2.39,99.2,2.24,89.6,5,R4,Strong Rock
PROMHILL,PH08D383,435.57,441.8,6.23,6.16,98.88,6.12,98.23,8,R4,Strong Rock
PROMHILL,PH08D383,441.8,447.5,5.7,5.66,100.18,5.66,99.3,10,R4,Strong Rock
PROMHILL,PH08D383,447.5,453.7,6.2,6.23,100.48,6.02,97.1,20,R4,Strong Rock
PROMHILL,PH08D383,453.7,460.2,6.5,6.43,98.92,6.13,94.31,14,R4,Strong Rock
PROMHILL,PH08D383,460.2,465.88,5.68,5.39,96.48,5.12,90.14,22,R4,Strong Rock
PROMHILL,PH08D383,465.88,469.0,3.12,3.12,100.0,3.12,100.0,2,R4,Strong Rock
