HOLE,PROJECT,SDEPTH,GRID,AzimOrig,DIP,North_Adjust,AzimMGA,Z_UNITS,Temp_C,MAGNETICFIELD,Comments
95AC87,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC88,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC93,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC97,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC103,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC109,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC127,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96ACD110,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96ACD116,SAR,0.0,MGA94_53_Z,190.0,-60.0,0,190.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC151,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC157,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC167,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90AMSTRC1,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90CBLRC1,SAR,0.0,MGA94_53_Z,355.0,-60.0,0,355.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90EARRC1,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
91NEPTRC3,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
93RC3,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
93RC6,SAR,0.0,MGA94_53_Z,180.0,-60.0,0,180.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC13,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC24,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC25,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC34,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC35,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94ACD21,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94ACD29,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94ACD37,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94ACD40,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC53,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC56,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC57,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC58,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC61,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC63,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC67,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC68,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC83,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC94,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC95,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD51,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD59,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD60,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD66,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD76,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD91,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC106,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC107,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90CBLRC2,SAR,0.0,MGA94_53_Z,355.0,-60.0,0,355.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
91ALPHARC1,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
92RC2,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
93DD10,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC12,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC14,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC15,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC27,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC28,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC38,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC41,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94ACD39,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC46,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC52,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC73,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC77,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC82,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC85,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC89,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC90,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD65,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD74,SAR,0.0,MGA94_53_Z,240.0,-55.0,0,240.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD75,SAR,0.0,MGA94_53_Z,45.0,-55.0,0,45.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD78,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC100,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC101,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC102,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC104,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC108,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC125,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC126,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96ACD117,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC155,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC156,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90JUPRC1,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90MARSRC1,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90NEPTRC1D,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90NEPTRC2,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90SATRC1,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
93RC8,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
93RC9,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC17,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC18,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC20,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC26,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC30,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC31,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC36,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC43,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94ACD44,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC47,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC48,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC50,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC54,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC55,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC62,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC64,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC69,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC80,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC96,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD71,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD84,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95ACD92,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC105,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC111,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC112,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC113,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC119,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC120,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC122,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC123,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96AC98,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
96ACD115,SAR,0.0,MGA94_53_Z,190.0,-60.0,0,190.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC152,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC153,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC159,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC160,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC161,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC162,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC163,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC169,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC170,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC172,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC173,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC129,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC137,SAR,0.0,MGA94_53_Z,180.0,-60.0,0,180.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC140,SAR,0.0,MGA94_53_Z,180.0,-60.0,0,180.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC144,SAR,0.0,MGA94_53_Z,180.0,-60.0,0,180.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
99DD251,SAR,252.0,MGA94_53_Z,360.0,-88.5,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
99DD251,SAR,102.0,MGA94_53_Z,360.0,-89.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
99DD252,SAR,180.0,MGA94_53_Z,360.0,-89.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
99DD252,SAR,84.0,MGA94_53_Z,360.0,-89.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
99DD253,SAR,179.0,MGA94_53_Z,360.0,-89.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
99DD259,SAR,264.0,MGA94_53_Z,360.0,-89.3,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
99DD260,SAR,186.0,MGA94_53_Z,360.0,-89.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT007,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT020,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT022,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT023,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT024,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT025,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT028,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97AC171,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC128,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC131,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC132,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC134,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC145,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC146,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
97RC149,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
99DD257,SAR,226.0,MGA94_53_Z,360.0,-88.5,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT013,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT016,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT019,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT021,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT027,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT031,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT032,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT034,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT035,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
ABT038,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
BLZ1,SAR,204.0,MGA94_53_Z,226.0,-89.6,0,226.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
BLZ1,SAR,138.0,MGA94_53_Z,184.0,-89.4,0,184.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
BLZ1,SAR,443.0,MGA94_53_Z,179.0,-89.4,0,179.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
BLZ1,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
BLZ1,SAR,305.0,MGA94_53_Z,296.0,-89.6,0,296.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
COMP_1,SAR,0.0,MGA94_53_Z,6.3,-90.0,0,6.3,METRES,,, Magnetic Minerals =  Magnetic Dip = 
COMP_1,SAR,60.0,MGA94_53_Z,6.3,-90.0,0,6.3,METRES,,, Magnetic Minerals =  Magnetic Dip = 
DAR001,SAR,108.0,MGA94_53_Z,290.3,-89.0,0,290.3,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
DAR001,SAR,300.0,MGA94_53_Z,13.3,-88.9,0,13.3,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
DAR001,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
DAR001,SAR,204.0,MGA94_53_Z,354.3,-89.3,0,354.3,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
DD08OBE003,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals =  Magnetic Dip = 
