PROJECT,Prospect,SiteID,SiteType,DepthFrom,DepthTo,Lithology1,Lithology2,QUALIFIER1,QUALIFIER2,QUALIFIER3,QUALIFIER4,QUALIFIER5,TEXTURE,TEXTURE2,TEXTURE3,TEXTURE4,TEXTURE5,COLOUR1,Colour1_Intensity,COLOUR2,Colour2_Intensity,STRATIGRAPHY,STRUCTURE,LOGGEDBY,PRIORITY,COMMENTS,DataSource
MTW,CPHR,SDA2,UN,36.6,67.1,LSD,,,,,,,,,,,,GRY,,,,Kn4,,,1,Quartz-fspar fine-coarse gr. sand with mudstone beds,User
MTW,CPHR,SDA2,UN,67.1,74.7,SSL,,,,,,,,,,,,BLK,,,,CPs,,,1, Mudstone with minor silt,User
MTW,CPHR,SDA2,UN,74.7,97.5,SMT,,,,,,,,,,,,GRY,,,,NL,,,1,Fine-med. gr. well sorted and rounded sand,User
MTW,CPHR,SDA3,UN,0.0,44.2,SMD,,,,,,,,,,,,,,,,Kmb,,,1,Mudstone with minor gypsum,SARDEDB
MTW,CPHR,SDA3,UN,44.2,82.3,LSD,,,,,,,,,,,,,,,,Kn4,,,1,Fine-coarse gr. quartz-fspar-lithic sand.,SARDEDB
MTW,CPHR,SDA3,UN,82.3,126.2,SMD,,,,,,,,,,,,,,,,CPs,,,1,Massive mudstone with minor silt and sericite,SARDEDB
MTW,CPHR,SDA3,UN,126.2,175.26,LSD,,,,,,,,,,,,,,,,CPb,,,1,Fine-med. gr. sand over gravel of qtz. QTZT. GNSS. hornfels,SARDEDB
MTW,CPHR,SDA8,UN,0.0,1.5,LSD,,,,,,,,,,,,,,,,Qe,,,1,Med. gr. sand and alluvium,SARDEDB
MTW,CPHR,SDA8,UN,1.5,29.0,LSD,,,,,,,,,,,,,,,,Kn4,,,1,Fine-med. gr. mod-well sorted and rounded sand. mudstone,SARDEDB
MTW,CPHR,SDA8,UN,29.0,39.62,SMD,,,,,,,,,,,,,,,,CPs,,,1,,SARDEDB
MTW,CPHR,SR4,UN,0.0,37.0,SSH,,SLT,,,,,,,,,,GRY,MD,WHT,,Kmb,,,1,Bulldog Shale,User
MTW,CPHR,SR4,UN,37.0,51.8,LSD,,FGR,,,,,,,,,,GRY,,,,Kn4,,,1,Fine grained with course-grained siltstone beds,User
MTW,CPHR,SR4,UN,51.8,83.1,SSL,,,,,,,,,,,,GRY,,,,CP1,,,1,Diamictite with shale intercalations,User
MTW,CPHR,SR4,UN,83.1,102.5,MGN,,,,,,,,,,,,GRY,,,,NL,,,1,Chlorite-garnet-guartz-feldspar gneiss,User
PROMHILL,,DP001,DH,0.0,4.0,SOIL,,FG,HW,,,,BK,,,,,R,5,U,,,,,1,,PH_MST
PROMHILL,,DP001,DH,4.0,8.0,SLCR,,FG,HW,,,,,,,,,O,8,W,,,,,1,,PH_MST
PROMHILL,,DP001,DH,8.0,44.0,CYST,,CE,HW,,,,BL,,,,,O,6,W,,,,,1,,PH_MST
PROMHILL,,DP001,DH,44.0,76.0,CYST,,CE,MW,,,,,,,,,E,3,,,,,,1,,PH_MST
PROMHILL,,DP001,DH,76.0,87.0,SAND,,SA,SE,,,,,,,,,W,7,E,,,,,1,,PH_MST
PROMHILL,,DP001,DH,87.0,95.4,CONG,,CE,,,,,,,,,,E,3,,,,,,1,,PH_MST
PROMHILL,,DP001,DH,95.4,135.4,ANDT,,HA,,,,,BX,AY,,,,R,4,E,,,,,1,,PH_MST
PROMHILL,,DP001,DH,135.4,139.4,HMRK,,CZ,,,,,GN,VG,,,,R,2,N,,,,,1,,PH_MST
PROMHILL,,DP001,DH,139.4,146.3,ANDT,,MA,,,,,AY,VL,,,,Y,6,E,,,,,1,,PH_MST
PROMHILL,,DP001,DH,146.3,153.3,ANDT,,HA,,,,,BX,MS,,,,R,3,N,,,,,1,,PH_MST
PROMHILL,,DP001,DH,153.3,165.8,ANDT,,HA,,,,,VL,AY,,,,U,5,R,,,,,1,Plagioclase phenocrysts,PH_MST
PROMHILL,,DP001,DH,165.8,167.1,ANDT,,LA,,,,,BX,VL,,,,Y,7,G,,,,,1,Plagioclase phenocrysts,PH_MST
PROMHILL,,DP001,DH,167.1,185.3,ANDT,,HA,,,,,BX,VL,,,,R,4,E,,,,,1,Plagioclase phenocrysts,PH_MST
PROMHILL,,DP001,DH,185.3,186.3,ANDT,,LA,,,,,AY,VL,,,,R,6,E,,,,,1,Plagioclase phenocrysts,PH_MST
PROMHILL,,DP001,DH,186.3,204.7,ANDT,,HA,,,,,VL,BX,,,,U,3,E,,,,,1,Plagioclase phenocrysts; crackle brecciated from 194.8 to 195.1m,PH_MST
PROMHILL,,DP001,DH,204.7,209.0,ANDT,,DY,,,,,VL,,,,,Y,6,W,,,,,1,Plagioclase phenocrysts,PH_MST
PROMHILL,,DP001,DH,209.0,242.2,ANDT,,,,,,,BX,VL,,,,U,3,E,,,,,1,Plagioclase phenocrysts,PH_MST
PROMHILL,,DP001,DH,242.2,259.5,ANDT,,LA,,,,,AY,,,,,E,4,,,,,,1,,PH_MST
PROMHILL,,DP001,DH,259.5,263.3,HMRK,,,,,,,MS,XY,,,,E,3,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,0.0,3.0,SLCR,,SE,FG,,,,,,,,,W,8,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,3.0,49.0,CYST,,HW,,,,,BL,,,,,C,8,W,,,,,1,,PH_MST
PROMHILL,,DP002,DH,49.0,79.0,CYST,,SW,CE,,,,,,,,,E,2,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,79.0,94.0,SAND,,SE,SA,,,,,,,,,E,6,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,94.0,97.3,CONG,,,,,,,RC,,,,,E,6,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,97.3,99.2,ANDT,,,,,,,BX,CR,,,,C,5,E,,,,,1,,PH_MST
PROMHILL,,DP002,DH,99.2,103.2,HMBX,,,,,,,CO,MX,,,,U,3,,,,,,1,MVBX changed to HMBX by BJV (MVBX no longer in use),PH_MST
PROMHILL,,DP002,DH,103.2,105.3,ANDT,,,,,,,BX,CR,,,,C,5,E,,,,,1,Sericite alteration also,PH_MST
PROMHILL,,DP002,DH,105.3,105.7,QZVN,,,,,,,<V,,,,,I,7,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,105.7,109.6,ANDT,,,,,,,BX,CR,,,,C,5,E,,,,,1,Sericite alteration also,PH_MST
PROMHILL,,DP002,DH,109.6,117.8,HMBX,,,,,,,CO,MX,,,,N,3,,,,,,1,MVBX changed to HMBX by BJV (MVBX no longer in use),PH_MST
PROMHILL,,DP002,DH,117.8,136.2,HMBX,,,,,,,CR,CO,,,,E,6,,,,,,1,"Rocktype CVBX (clast supported volcanic breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP002,DH,136.2,139.9,QZVN,,,,,,,<V,BX,,,,I,6,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,139.9,147.0,HMBX,,,,,,,BX,,,,,E,4,,,,,,1,"Rocktype CTBX (Clast supported breccia) no longer in use, changed to HMBX.",PH_MST
PROMHILL,,DP002,DH,147.0,240.4,HMBX,,,,,,,CO,MX,,,,U,4,N,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP002,DH,240.4,249.7,HMBX,,,,,,,MS,,,,,N,,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,249.7,249.8,DACT,,DY,,,,,PR,FB,,,,E,4,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,249.8,253.5,HMBX,,,,,,,MS,,,,,N,,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,253.5,257.1,DACT,,DY,,,,,PR,CO,,,,E,4,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,257.1,257.7,HMBX,,,,,,,MS,,,,,N,,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,257.7,258.0,DACT,,DY,,,,,PR,CO,,,,E,4,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,258.0,263.7,HMBX,,,,,,,MS,,,,,N,,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,263.7,283.7,HMRK,,,,,,,MS,,,,,N,2,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,283.7,306.3,HMBX,,,,,,,MS,,,,,N,,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,306.3,307.4,DACT,,SE,,,,,CO,VL,,,,E,6,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,307.4,372.0,FLVL,,HA,,,,,,,,,,E,3,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,372.0,380.2,HMRK,,,,,,,MS,,,,,N,2,,,,,,1,,PH_MST
PROMHILL,,DP002,DH,380.2,382.1,ANDT,,HA,,,,,,,,,,E,6,,,,,,1,Sericite alteration also,PH_MST
PROMHILL,,DP002,DH,382.1,389.2,HMRK,,,,,,,FM,,,,,R,3,N,,,,,1,Minor hematite breccia (steely grey matrix) and highly altered intermediate volcanics,PH_MST
PROMHILL,,DP002,DH,389.2,456.3,FLVL,,HA,,,,,FM,,,,,R,3,N,,,,,1,Relic quartz filled amygdales and plagioclase phenocrysts - ubiquitous hematisation,PH_MST
PROMHILL,,DP003,DH,0.0,48.0,CYST,,MW,,,,,BL,,,,,W,7,Y,,,,,1,Tertiary weathering of Bulldog Shale,PH_MST
PROMHILL,,DP003,DH,48.0,84.0,CYST,,,,,,,,,,,,E,3,,,,,,1,Fresh Bulldog Shale,PH_MST
PROMHILL,,DP003,DH,84.0,102.0,SAND,,,,,,,,,,,,E,7,,,,,,1,Cadna-owie Formation,PH_MST
PROMHILL,,DP003,DH,102.0,121.6,CLAY,,CE,,,,,,,,,,E,7,,,,,,1,Boorthanna Formation,PH_MST
PROMHILL,,DP003,DH,121.6,124.3,CONG,,,,,,,,,,,,E,7,,,,,,1,Boorthanna Formation: Calcite-rich cement within matrix,PH_MST
PROMHILL,,DP003,DH,124.3,140.7,ANDT,,SW,,,,,AY,,,,,R,5,E,,,,,1,,PH_MST
PROMHILL,,DP003,DH,140.7,146.0,ANDT,,HA,,,,,FM,AL,,,,P,4,N,,,,,1,,PH_MST
PROMHILL,,DP003,DH,146.0,161.8,HMBX,,,,,,,MX,,,,,E,5,,,,,,1,MVBX changed to HMBX by BJV (MVBX no longer in use),PH_MST
PROMHILL,,DP003,DH,161.8,165.0,ANDT,,MA,,,,,,,,,,U,5,,,,,,1,,PH_MST
PROMHILL,,DP003,DH,165.0,167.6,HMBX,,,,,,,MX,,,,,N,2,,,,,,1,MVBX changed to HMBX by BJV (MVBX no longer in use),PH_MST
PROMHILL,,DP003,DH,167.6,172.1,ANDT,,MA,,,,,PR,,,,,G,5,U,,,,,1,,PH_MST
PROMHILL,,DP003,DH,172.1,185.0,HMBX,,,,,,,MX,,,,,U,3,N,,,,,1,MVBX changed to HMBX by BJV (MVBX no longer in use),PH_MST
PROMHILL,,DP003,DH,185.0,217.3,HMBX,,,,,,,MX,,,,,N,3,,,,,,1,MVBX changed to HMBX by BJV (MVBX no longer in use),PH_MST
PROMHILL,,DP003,DH,217.3,254.8,ANDT,,,,,,,AL,,,,,U,5,,,,,,1,,PH_MST
PROMHILL,,DP003,DH,254.8,267.0,HMBX,,,,,,,MX,,,,,U,4,N,,,,,1,MVBX changed to HMBX by BJV (MVBX no longer in use),PH_MST
PROMHILL,,DP003,DH,267.0,305.2,HMBX,,,,,,,,,,,,G,5,U,,,,,1,"Rocktype CVBX (clast supported volcanic breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP003,DH,305.2,310.5,HMBX,,,,,,,MX,,,,,Y,5,U,,,,,1,MVBX changed to HMBX by BJV (MVBX no longer in use),PH_MST
PROMHILL,,DP003,DH,310.5,320.1,HMBX,,,,,,,,,,,,N,4,,,,,,1,,PH_MST
PROMHILL,,DP003,DH,320.1,375.5,MDST,,CE,,,,,BX,CR,,,,E,7,,,,,,1,,PH_MST
PROMHILL,,DP003,DH,375.5,400.1,DOLT,,DY,,,,,PR,,,,,U,6,G,,,,,1,,PH_MST
PROMHILL,,DP003,DH,400.1,415.0,HMBX,,,,,,,,,,,,N,2,,,,,,1,,PH_MST
PROMHILL,,DP003,DH,415.0,417.9,HMBX,,DY,,,,,BX,,,,,U,6,G,,,,,1,,PH_MST
PROMHILL,,DP003,DH,417.9,431.0,HMBX,,,,,,,MX,,,,,N,2,,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP003,DH,431.0,444.1,DOLT,,DY,,,,,,,,,,E,7,,,,,,1,,PH_MST
PROMHILL,,DP003,DH,444.1,453.0,DYBX,,,,,,,MS,,,,,B,3,E,,,,,1,"Rocktype CTBX (Clast supported breccia) no longer in use, changed to HMBX.",PH_MST
PROMHILL,,DP003,DH,453.0,453.9,DOLT,,DY,,,,,,,,,,E,7,,,,,,1,,PH_MST
PROMHILL,,DP003,DH,453.9,454.3,HMBX,,,,,,,,,,,,B,3,E,,,,,1,"Rocktype CTBX (Clast supported breccia) no longer in use, changed to HMBX.",PH_MST
PROMHILL,,DP003,DH,454.3,454.8,DOLT,,DY,,,,,VL,<V,,,,Y,7,E,,,,,1,,PH_MST
PROMHILL,,DP003,DH,454.8,461.7,HMBX,,,,,,,,,,,,B,3,E,,,,,1,"Rocktype CTBX (Clast supported breccia) no longer in use, changed to HMBX.",PH_MST
PROMHILL,,DP003,DH,461.7,470.7,HMBX,,,,,,,MX,,,,,B,2,E,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP003,DH,470.7,475.9,DOLT,,DY,,,,,CR,,,,,Y,8,E,,,,,1,,PH_MST
PROMHILL,,DP003,DH,475.9,504.2,HMBX,,,,,,,MX,,,,,B,3,E,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP003,DH,504.2,511.4,DOLT,,DY,,,,,CR,,,,,Y,7,E,,,,,1,,PH_MST
PROMHILL,,DP003,DH,511.4,540.6,HMBX,,HY,,,,,MS,MX,,,,E,3,N,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP003,DH,540.6,610.0,HMBX,,,,,,,MS,MX,,,,N,2,,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP003,DH,610.0,622.4,ANDT,,,,,,,BX,,,,,U,3,N,,,,,1,,PH_MST
PROMHILL,,DP003,DH,622.4,638.1,HMBX,,,,,,,MS,MX,,,,N,2,,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP003,DH,638.1,639.1,ANDT,,DY,MA,,,,CR,,,,,Y,8,E,,,,,1,,PH_MST
PROMHILL,,DP003,DH,639.1,678.5,HMBX,,,,,,,MS,MX,,,,E,2,N,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP003,DH,678.5,687.4,HMBX,,,,,,,MX,,,,,R,3,N,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP003,DH,687.4,687.9,ANDT,,DY,,,,,CM,VL,,,,Y,7,W,,,,,1,,PH_MST
PROMHILL,,DP003,DH,687.9,690.2,HMBX,,,,,,,MS,,,,,R,3,N,,,,,1,,PH_MST
PROMHILL,,DP003,DH,690.2,690.4,ANDT,,DY,,,,,CM,VL,,,,G,8,Y,,,,,1,,PH_MST
PROMHILL,,DP003,DH,690.4,699.4,HMBX,,,,,,,MS,,,,,R,3,N,,,,,1,,PH_MST
PROMHILL,,DP003,DH,699.4,700.2,ANDT,,DY,,,,,BX,VL,,,,G,5,E,,,,,1,,PH_MST
PROMHILL,,DP003,DH,700.2,706.6,HMBX,,,,,,,MS,,,,,R,3,N,,,,,1,,PH_MST
PROMHILL,,DP003,DH,706.6,707.5,ANDT,,DY,,,,,BX,,,,,G,5,Y,,,,,1,,PH_MST
PROMHILL,,DP003,DH,707.5,711.3,HMBX,,,,,,,MS,,,,,R,3,N,,,,,1,,PH_MST
PROMHILL,,DP003,DH,711.3,713.3,ANDT,,DY,MA,,,,VL,,,,,U,6,Y,,,,,1,,PH_MST
PROMHILL,,DP003,DH,713.3,715.2,HMBX,,,,,,,MS,,,,,R,3,N,,,,,1,,PH_MST
PROMHILL,,DP003,DH,715.2,716.6,ANDT,,DY,,,,,,,,,,Y,8,U,,,,,1,,PH_MST
PROMHILL,,DP003,DH,716.6,723.4,HMBX,,,,,,,MS,,,,,R,3,N,,,,,1,,PH_MST
PROMHILL,,DP003,DH,723.4,724.3,ANDT,,DY,MA,,,,,,,,,U,6,Y,,,,,1,,PH_MST
PROMHILL,,DP003,DH,724.3,739.0,HMBX,,,,,,,MS,,,,,R,3,N,,,,,1,,PH_MST
PROMHILL,,DP003,DH,739.0,750.0,ANDT,,,,,,,AL,BX,,,,R,4,E,,,,,1,,PH_MST
PROMHILL,,DP004,DH,0.0,2.0,SOIL,,FG,,,,,,,,,,O,7,,,,,,1,,PH_MST
PROMHILL,,DP004,DH,2.0,6.0,SLCR,,SE,FG,,,,BK,,,,,R,6,O,,,,,1,,PH_MST
PROMHILL,,DP004,DH,6.0,51.0,CYST,,CE,HW,,,,,,,,,E,8,W,,,,,1,,PH_MST
PROMHILL,,DP004,DH,51.0,92.0,CYST,,CE,SW,,,,,,,,,E,3,,,,,,1,,PH_MST
PROMHILL,,DP004,DH,92.0,98.0,SAND,,SA,MI,,,,,,,,,E,8,W,,,,,1,,PH_MST
PROMHILL,,DP004,DH,98.0,114.4,CYST,,CE,,,,,IB,,,,,Y,7,E,,,,,1,,PH_MST
PROMHILL,,DP004,DH,114.4,159.3,AGGL,,,,,,,CS,PR,,,,E,3,U,,,,,1,,PH_MST
PROMHILL,,DP004,DH,159.3,171.0,ANDT,,MA,,,,,PR,AY,,,,E,3,U,,,,,1,Large phenocrysts (upto 10cm) some with hematite inclusions.,PH_MST
PROMHILL,,DP004,DH,171.0,171.3,QZVN,,,,,,,MS,CR,,,,Y,8,W,,,,,1,,PH_MST
PROMHILL,,DP004,DH,171.3,218.2,ANDT,,MA,,,,,PR,AY,,,,E,3,U,,,,,1,,PH_MST
PROMHILL,,DP004,DH,218.2,229.9,ANDT,,HA,,,,,AL,AY,,,,U,3,,,,,,1,,PH_MST
PROMHILL,,DP004,DH,229.9,235.1,ANDT,,MA,,,,,PR,AY,,,,E,3,U,,,,,1,,PH_MST
PROMHILL,,DP004,DH,235.1,238.4,ANDT,,DY,,,,,AY,CM,,,,W,7,Y,,,,,1,,PH_MST
PROMHILL,,DP004,DH,238.4,244.5,ANDT,,,,,,,AL,BX,,,,E,3,U,,,,,1,,PH_MST
PROMHILL,,DP004,DH,244.5,245.0,ANDT,,DY,,,,,VL,,,,,Y,8,W,,,,,1,,PH_MST
PROMHILL,,DP004,DH,245.0,249.1,ANDT,,,,,,,AL,AY,,,,O,4,E,,,,,1,,PH_MST
PROMHILL,,DP004,DH,249.1,268.7,ANDT,,MA,,,,,VL,,,,,O,7,U,,,,,1,,PH_MST
PROMHILL,,DP004,DH,268.7,285.1,ANDT,,,,,,,AL,BX,,,,U,3,,,,,,1,,PH_MST
PROMHILL,,DP004,DH,285.1,286.8,ANDT,,MA,,,,,VL,,,,,O,5,U,,,,,1,,PH_MST
PROMHILL,,DP004,DH,286.8,287.8,HMBX,,,,,,,>V,MS,,,,E,3,,,,,,1,"Rocktype MTBX (Matrix supported breccia) no longer in use, changed to HMBX",PH_MST
PROMHILL,,DP004,DH,287.8,355.1,ANDT,,MA,,,,,AY,PR,,,,U,4,,,,,,1,,PH_MST
PROMHILL,,DP004,DH,355.1,364.9,ANDT,,,,,,,PR,FB,,,,U,6,G,,,,,1,,PH_MST
PROMHILL,,DP004,DH,364.9,367.2,HMRK,,,,,,,MS,BX,,,,E,3,N,,,,,1,,PH_MST
PROMHILL,,DP004,DH,367.2,395.0,ANDT,,MA,,,,,AY,PR,,,,U,4,,,,,,1,,PH_MST
PROMHILL,,DP004,DH,395.0,465.0,ANDT,,LA,,,,,BX,FB,,,,U,4,R,,,,,1,Variable phases ranging from porphyritic to chiiled margins to brecciated to agglomeratic in parts.,PH_MST
PROMHILL,,DP004,DH,465.0,487.0,ANDT,,HA,,,,,PR,AY,,,,E,5,U,,,,,1,,PH_MST
PROMHILL,,DP004,DH,487.0,510.2,ANDT,,LA,,,,,BX,AY,,,,U,4,R,,,,,1,Variable phases ranging from porphyritic to chiiled margins to brecciated to agglomeratic in parts.,PH_MST
PROMHILL,,DP004,DH,510.2,511.7,HMRK,,HY,,,,,>V,MS,,,,E,2,N,,,,,1,,PH_MST
PROMHILL,,DP004,DH,511.7,519.3,ANDT,,LA,,,,,BX,AY,,,,U,4,R,,,,,1,Variable phases ranging from porphyritic to chiiled margins to brecciated to agglomeratic in parts.,PH_MST
PROMHILL,,DP004,DH,519.3,522.8,HMRK,,HY,,,,,>V,MS,,,,E,2,N,,,,,1,,PH_MST
PROMHILL,,DP004,DH,522.8,527.85,ANDT,,LA,,,,,BX,AY,,,,U,4,R,,,,,1,Variable phases ranging from porphyritic to chiiled margins to brecciated to agglomeratic in parts.,PH_MST
PROMHILL,,DP004,DH,527.85,528.3,HMRK,,HY,,,,,>V,MS,,,,E,2,N,,,,,1,,PH_MST
PROMHILL,,DP004,DH,528.3,528.8,ANDT,,LA,,,,,BX,AY,,,,U,4,R,,,,,1,Variable phases ranging from porphyritic to chiiled margins to brecciated to agglomeratic in parts.,PH_MST
PROMHILL,,DP004,DH,528.8,534.1,HMRK,,HY,,,,,>V,MS,,,,E,2,N,,,,,1,,PH_MST
PROMHILL,,DP004,DH,534.1,542.0,ANDT,,LA,,,,,BX,AY,,,,U,4,R,,,,,1,Hematitic in part; minor chlorite; Variable phases ranging from porphyritic to chiiled margins to brecciated to agglomeratic in parts.,PH_MST
