Project,SiteId,Depth_From,Depth_To,Altmineral1,Altstyle1,Altmineral2,Altstyle2
SAR,95ACD76,76.52,81.74,ca,NL,mt,NL
SAR,95ACD76,84.03,86.01,mt,NL,,
SAR,95ACD76,86.01,86.43,py,NL,,
SAR,95ACD76,87.42,100.0,mt,NL,,
SAR,95ACD76,100.4,100.6,mt,NL,,
SAR,95ACD76,101.3,103.0,ca,NL,mt,NL
SAR,95ACD76,104.1,104.2,mt,NL,,
SAR,95ACD76,104.5,105.8,mt,NL,,
SAR,95ACD76,106.9,107.1,ca,NL,mt,NL
SAR,95ACD76,108.0,108.1,ca,NL,mt,NL
SAR,95ACD78,83.0,83.62,mt,NL,,
SAR,95ACD78,83.62,84.07,mt,NL,,
SAR,95ACD78,84.22,84.44,mt,NL,,
SAR,95ACD78,84.44,84.55,ca,NL,,
SAR,95ACD78,84.55,84.88,mt,NL,,
SAR,95ACD78,84.88,85.36,mt,NL,,
SAR,95ACD78,85.36,85.58,mt,NL,,
SAR,95ACD78,85.58,85.92,mt,NL,,
SAR,95ACD78,85.92,86.22,ab,NL,,
SAR,95ACD78,86.22,86.65,mt,NL,,
SAR,95ACD78,91.1,91.28,mt,NL,py,NL
SAR,95ACD78,91.28,92.47,ab,NL,,
SAR,95ACD78,92.47,92.62,mt,NL,py,NL
SAR,95ACD78,92.62,95.3,mt,NL,,
SAR,95ACD78,95.3,100.6,mt,NL,py,NL
SAR,95ACD78,106.6,107.0,mt,NL,,
SAR,95ACD78,107.0,108.0,mt,NL,,
SAR,95ACD78,108.0,108.4,ca,NL,mt,NL
SAR,95ACD78,110.5,112.1,mt,NL,,
SAR,95ACD78,113.1,116.1,mt,NL,,
SAR,95ACD78,116.1,119.0,ab,NL,,
SAR,96AC100,72.99,73.0,mt,NL,,
SAR,96AC103,96.0,102.1,mt,NL,,
SAR,96AC104,99.5,100.0,mt,NL,,
SAR,96AC105,23.8,24.05,bi,NL,,
SAR,96AC118,54.0,66.0,qt,NL,,
SAR,96AC125,84.0,87.0,mt,NL,,
SAR,96AC125,87.0,93.0,mt,NL,,
SAR,96AC98,93.0,93.5,ab,NL,,
SAR,96ACD110,108.0,109.0,mt,NL,,
SAR,96ACD116,80.0,94.6,mt,NL,,
SAR,96ACD116,94.6,97.47,mt,NL,,
SAR,96ACD116,97.47,98.85,mt,NL,sa,NL
SAR,96ACD116,98.85,101.1,mt,NL,,
SAR,96ACD116,101.7,105.82,mt,NL,,
SAR,96ACD116,108.46,109.9,mt,NL,,
SAR,96ACD116,110.51,110.67,mt,NL,,
SAR,96ACD116,111.53,112.11,mt,NL,,
SAR,96ACD116,112.68,113.96,mt,NL,,
SAR,96ACD116,113.96,115.06,mt,NL,,
SAR,96ACD116,116.94,119.62,mt,NL,,
SAR,96ACD116,119.94,121.67,mt,NL,,
SAR,96ACD116,122.04,122.84,mt,NL,,
SAR,96ACD116,122.95,126.2,mt,NL,,
SAR,96ACD116,126.2,128.94,mt,NL,,
SAR,96ACD116,130.02,133.14,mt,NL,,
SAR,96ACD116,133.6,137.71,mt,NL,,
SAR,96ACD116,138.76,141.26,mt,NL,,
SAR,96ACD116,142.7,145.45,mt,NL,,
SAR,96ACD116,145.45,148.21,mt,NL,,
SAR,96ACD116,148.21,157.21,mt,NL,,
SAR,96ACD116,158.7,159.14,mt,NL,,
SAR,96ACD116,159.14,160.26,mt,NL,,
SAR,96ACD116,160.26,162.81,mt,NL,,
SAR,96ACD116,163.36,165.78,mt,NL,,
SAR,96ACD116,165.78,165.96,mt,NL,,
SAR,96ACD116,165.96,166.85,mt,NL,,
SAR,96ACD116,167.04,174.63,mt,NL,,
SAR,96ACD116,178.25,178.6,mt,NL,,
SAR,96ACD116,178.6,185.07,mt,NL,,
SAR,96ACD116,185.07,185.92,mt,NL,,
SAR,96ACD116,185.92,187.96,mt,NL,,
SAR,96ACD116,187.96,189.12,mt,NL,,
SAR,96ACD116,189.12,191.74,mt,NL,,
SAR,96ACD116,191.74,192.29,mt,NL,,
SAR,96ACD116,192.29,200.93,mt,NL,,
SAR,96ACD116,200.93,201.77,mt,NL,,
SAR,96ACD116,201.77,202.5,mt,NL,,
SAR,96ACD116,202.5,203.69,mt,NL,,
SAR,96ACD116,203.69,204.55,mt,NL,,
SAR,97AC156,116.0,117.0,ph,NL,,
SAR,97RC129,91.0,102.0,mt,NL,,
SAR,97RC129,102.0,107.0,mt,NL,,
SAR,97RC129,113.0,116.0,mt,NL,,
SAR,97RC130,97.0,106.0,mt,NL,,
SAR,97RC130,106.0,107.0,mt,NL,,
SAR,97RC130,107.0,111.0,mt,NL,,
SAR,97RC130,111.0,115.0,mt,NL,,
SAR,97RC130,122.0,123.0,mt,NL,,
SAR,97RC130,124.0,132.0,mt,NL,,
SAR,97RC130,132.0,133.0,mt,NL,,
SAR,97RC130,133.0,139.0,mt,NL,,
SAR,97RC130,139.0,141.0,mt,NL,,
SAR,97RC130,144.0,146.0,hm,P,,
SAR,97RC130,146.0,147.0,mt,NL,,
SAR,97RC131,147.5,153.0,hm,NL,,
SAR,97RC131,153.0,159.0,hm,NL,,
SAR,97RC132,7.0,23.0,hm,NL,,
SAR,97RC132,116.0,119.0,ch,NL,,
SAR,97RC133,91.0,92.0,ab,NL,,
SAR,97RC133,100.0,102.0,ab,NL,,
SAR,97RC137,87.0,89.0,mt,NL,,
SAR,97RC137,89.0,103.0,mt,NL,,
SAR,97RC139,33.0,38.0,ka,NL,,
SAR,97RC139,38.0,40.0,ka,NL,,
SAR,97RC139,40.0,41.0,ka,NL,,
SAR,97RC139,41.0,44.0,ka,NL,,
SAR,97RC139,87.0,89.0,mt,NL,,
SAR,97RC139,89.0,90.0,mt,NL,,
SAR,97RC139,90.0,94.0,hm,NL,,
SAR,97RC139,94.0,98.0,hm,NL,,
SAR,97RC139,98.0,104.0,hm,NL,,
SAR,97RC139,104.0,114.0,hm,NL,,
SAR,97RC139,114.0,117.0,hm,NL,,
SAR,97RC139,117.0,118.0,hm,NL,,
SAR,97RC139,118.0,119.0,hm,NL,,
SAR,97RC139,119.0,120.0,hm,NL,,
SAR,97RC139,127.0,128.0,si,NL,,
SAR,97RC139,132.0,140.0,ch,NL,,
SAR,97RC140,88.0,96.0,mt,NL,,
SAR,97RC140,96.0,104.0,hm,NL,,
SAR,97RC140,104.0,105.0,hm,NL,,
SAR,97RC141,83.0,88.0,mt,NL,,
SAR,97RC141,88.0,91.0,mt,NL,,
SAR,97RC141,91.0,95.0,mt,NL,,
SAR,97RC141,95.0,96.0,mt,NL,,
SAR,97RC141,96.0,105.0,mt,NL,,
SAR,97RC141,105.0,106.0,mt,NL,,
SAR,97RC141,106.0,107.0,mt,NL,,
SAR,97RC141,107.0,109.0,mt,NL,,
SAR,97RC141,109.0,111.0,mt,NL,,
SAR,97RC142,117.0,118.0,mt,NL,,
SAR,97RC143,117.0,118.0,mt,NL,,
SAR,97RC143,118.0,119.0,mt,NL,,
SAR,97RC143,119.0,120.0,mt,NL,,
SAR,97RC143,125.0,126.0,mt,NL,,
SAR,97RC143,126.0,130.0,mt,NL,,
SAR,97RC143,130.0,133.0,mt,NL,,
SAR,97RC143,133.0,136.0,mt,NL,,
SAR,97RC143,136.0,137.0,mt,NL,,
SAR,97RC143,137.0,141.0,mt,NL,,
SAR,97RC144,100.0,113.0,mt,NL,,
SAR,97RC145,106.0,108.0,mt,NL,,
SAR,97RC145,115.0,120.0,mt,NL,,
SAR,97RC145,120.0,121.0,mt,NL,,
SAR,97RC145,121.0,122.0,mt,NL,,
SAR,97RC145,122.0,125.0,mt,NL,,
SAR,97RC145,127.0,131.0,mt,NL,,
SAR,97RC145,131.0,138.0,mt,NL,,
SAR,97RC145,138.0,139.0,mt,NL,,
SAR,97RC145,139.0,141.0,mt,NL,,
SAR,97RC145,141.0,142.0,mt,NL,,
SAR,97RC145,142.0,143.0,mt,NL,,
SAR,97RC145,143.0,144.0,mt,NL,,
SAR,97RC145,144.0,145.0,mt,NL,,
SAR,97RC145,145.0,146.0,mt,NL,,
SAR,97RC145,146.0,148.0,mt,NL,,
SAR,97RC145,148.0,150.0,mt,NL,,
SAR,97RC145,150.0,155.0,mt,NL,,
SAR,97RC145,155.0,156.0,mt,NL,,
SAR,97RC145,156.0,157.0,mt,NL,,
SAR,97RC145,157.0,159.0,ch,NL,,
SAR,97RC146,86.0,99.0,mt,NL,,
SAR,97RC146,99.0,100.0,mt,NL,,
SAR,97RC146,100.0,103.0,mt,NL,,
SAR,97RC146,103.0,107.0,mt,NL,,
SAR,97RC146,107.0,118.0,mt,NL,,
SAR,97RC146,118.0,120.0,mt,NL,,
SAR,97RC146,120.0,124.0,mt,NL,,
SAR,97RC146,129.0,131.0,mt,NL,,
SAR,97RC146,131.0,132.0,mt,NL,,
SAR,97RC146,132.0,133.0,mt,NL,,
SAR,97RC146,133.0,135.0,mt,NL,,
SAR,98AC178,4.0,7.0,ch,NL,,
SAR,98AC179,78.0,86.0,mt,NL,,
SAR,98AC179,90.0,92.0,mt,NL,,
SAR,98AC200,104.0,106.0,py,NL,,
SAR,98ACD242,162.7,164.8,ab,NL,HRR,NL
SAR,98ACD242,164.8,166.2,mt,NL,,
SAR,98ACD242,166.2,166.6,ab,NL,HRR,NL
SAR,98ACD242,166.6,168.1,HRR,NL,mt,NL
SAR,98ACD242,168.1,170.2,ds,NL,mt,NL
SAR,98ACD242,170.2,175.9,hm,NL,,
SAR,98ACD242,178.8,185.2,ds,NL,HRR,NL
SAR,98ACD242,185.2,186.7,HRR,NL,mt,NL
SAR,98ACD242,191.0,194.5,mt,NL,,
SAR,98ACD242,196.6,197.2,mt,NL,,
SAR,98ACD242,197.2,197.5,mt,NL,,
SAR,98ACD242,197.5,198.7,ch,NL,,
SAR,98ACD242,198.7,199.6,ch,NL,,
SAR,98ACD242,199.6,199.7,mt,NL,,
SAR,98ACD242,199.7,201.9,ab,NL,,
SAR,98ACD242,202.2,204.2,ab,NL,,
SAR,98ACD242,204.4,205.7,ab,NL,,
SAR,98ACD242,205.7,206.1,mt,NL,,
SAR,98ACD242,206.1,207.5,ab,NL,,
SAR,98ACD242,207.5,210.5,ca,NL,,
SAR,98ACD242,210.5,211.1,ab,NL,,
SAR,98ACD242,211.1,214.5,ca,NL,,
SAR,98ACD242,214.5,215.0,mt,NL,,
SAR,98ACD242,215.0,216.4,mt,NL,,
SAR,98ACD242,216.4,219.0,ab,NL,,
SAR,98ACD242,219.0,219.3,ch,NL,,
SAR,98ACD242,219.3,226.4,mt,NL,,
SAR,98ACD242,226.4,228.5,mt,NL,,
SAR,98ACD242,228.5,232.8,mt,NL,,
SAR,98ACD242,234.7,237.8,mt,NL,,
SAR,98ACD242,237.8,239.5,mt,NL,,
SAR,98ACD242,239.5,240.3,hm,NL,,
SAR,98ACD242,240.3,244.9,ch,NL,,
SAR,98ACD242,245.1,245.9,hm,NL,,
SAR,98ACD242,245.9,255.0,mt,NL,,
SAR,98ACD242,255.0,256.3,ch,NL,,
SAR,98ACD242,256.3,261.3,mt,NL,,
SAR,98ACD242,262.7,266.3,ab,NL,,
SAR,98ACD242,266.3,270.1,mt,NL,,
SAR,98ACD242,270.1,271.5,ab,NL,,
SAR,98ACD242,271.5,273.6,mt,NL,,
SAR,98ACD242,273.6,274.9,mt,NL,,
SAR,98ACD242,274.9,277.8,qt,NL,,
SAR,98ACD242,277.9,282.3,mt,NL,,
SAR,98ACD242,286.3,287.0,mt,NL,,
SAR,98ACD242,287.3,288.7,mt,NL,,
SAR,98ACD242,308.9,313.5,ab,NL,,
SAR,98ACD242,324.9,330.7,ab,NL,,
SAR,98ACD243,114.0,117.2,mt,NL,,
SAR,98ACD243,133.7,136.4,mt,NL,,
SAR,98ACD243,144.6,145.0,ab,NL,,
SAR,98ACD243,145.0,148.1,mt,P,,
SAR,98ACD243,148.1,148.5,ab,NL,,
SAR,98ACD243,149.0,149.3,mt,M,,
SAR,98ACD243,153.5,161.8,ab,NL,mt,M
SAR,98ACD243,162.6,171.4,mt,M,,
SAR,98ACD243,171.4,173.9,ab,P,,
SAR,98ACD243,178.9,179.4,ab,P,,
SAR,98ACD243,186.8,190.0,ca,NL,mt,M
SAR,98ACD243,190.0,195.6,mt,P,,
SAR,98ACD243,220.9,228.7,ab,M,,
SAR,98ACD243,245.0,246.4,mt,M,,
SAR,98ACD243,263.1,265.5,mt,M,,
SAR,98ACD243,288.8,289.3,mt,NL,,
SAR,99DD251,195.3,215.9,ac,NL,ca,NL
SAR,99DD251,215.9,217.1,hm,NL,,
SAR,99DD251,217.1,232.8,ca,NL,mt,NL
SAR,99DD251,233.5,235.1,ca,NL,,
SAR,99DD251,237.0,239.4,mt,NL,py,NL
SAR,99DD251,239.4,241.5,ac,NL,,
SAR,99DD255,59.6,62.0,ch,NL,,
SAR,99DD255,62.0,66.6,ph,NL,,
SAR,99DD255,66.6,71.1,ch,NL,si,NL
SAR,99DD255,71.1,73.5,si,NL,,
SAR,99DD255,73.5,74.5,ca,NL,si,NL
SAR,99DD255,77.0,80.7,ch,NL,,
SAR,99DD258,157.3,165.8,ca,NL,mt,NL
SAR,99DD260,159.8,163.7,ch,NL,,
SAR,99DD260,163.7,169.3,ac,NL,,
SAR,ABT001,0.0,2.0,ka,NL,,
SAR,ABT001,2.0,8.0,ka,NL,,
SAR,ABT002,0.0,12.0,ka,NL,,
SAR,ABT002,12.0,14.0,ka,NL,,
SAR,ABT003,2.0,8.0,ka,NL,,
SAR,ABT003,8.0,22.0,ka,NL,,
SAR,ABT007,30.0,48.0,ka,NL,,
SAR,ABT008,28.0,38.0,hm,NL,,
SAR,ABT008,38.0,42.0,ka,NL,,
SAR,ABT010,34.0,36.0,ka,NL,,
SAR,ABT010,36.0,42.0,ka,NL,,
SAR,ABT011,36.0,38.0,ka,NL,,
SAR,ABT011,38.0,40.0,ka,NL,,
SAR,ABT011,40.0,44.0,ka,NL,,
SAR,ABT011,44.0,55.0,ka,NL,,
SAR,ABT012,35.0,38.0,ka,NL,,
SAR,ABT012,38.0,44.0,ka,NL,,
SAR,ABT015,42.0,44.0,ka,NL,,
SAR,ABT015,44.0,57.0,ka,NL,,
SAR,ABT016,36.0,38.0,ka,NL,,
SAR,ABT016,38.0,42.0,ka,NL,,
SAR,ABT016,42.0,50.0,ka,NL,,
SAR,ABT017,35.0,40.0,ka,NL,,
SAR,ABT018,33.0,34.0,ka,NL,,
SAR,ABT021,32.0,34.0,ka,NL,,
SAR,ABT021,34.0,46.0,ka,NL,,
SAR,ABT022,30.0,31.0,ka,NL,,
SAR,ABT022,31.0,32.0,ka,NL,,
SAR,ABT022,32.0,43.0,ka,NL,,
SAR,ABT022,43.0,46.0,hm,NL,,
SAR,ABT023,28.0,30.0,hm,NL,ka,NL
SAR,ABT023,30.0,44.0,ka,NL,,
SAR,ABT033,36.0,46.0,ka,NL,,
SAR,ABT034,32.0,39.0,hm,NL,,
SAR,ABT036,0.0,20.0,ka,NL,,
SAR,ABT037,0.0,20.0,ka,NL,,
SAR,ABT038,0.0,6.0,ka,NL,,
SAR,ABT038,6.0,12.0,ka,NL,,
SAR,ABT039,0.0,4.0,ka,NL,si,NL
SAR,ABT039,4.0,6.0,ka,NL,si,NL
SAR,ABT039,6.0,8.0,ka,NL,,
SAR,ABT039,8.0,13.0,ka,NL,,
SAR,ABT039,13.0,16.0,ka,NL,,
SAR,ABT039,16.0,24.0,ka,NL,,
SAR,ABT039,24.0,36.0,ka,NL,,
SAR,ARMN1,43.0,63.7,ka,NL,,
SAR,ARMN1,74.5,92.1,kf,NL,,
SAR,ARMN1,118.0,150.0,kf,NL,,
SAR,ARMN1,150.0,156.6,ch,NL,se,NL
SAR,ARMN1,156.6,161.0,ch,NL,,
SAR,ARMN1,166.0,174.6,hm,NL,,
SAR,ARMN1,174.6,179.45,am,NL,hm,NL
SAR,ARMN1,179.45,180.5,hm,NL,,
SAR,ARMN1,180.5,184.0,hm,NL,,
SAR,ARMN1,184.0,186.45,hm,NL,,
SAR,ARMN1,186.45,187.1,ca,NL,,
SAR,ARMN1,187.1,192.3,hm,NL,,
SAR,ARMN1,192.3,194.5,hm,NL,,
SAR,ARMN1,194.9,198.7,hm,NL,,
SAR,ARMN1,199.6,201.25,hm,NL,,
SAR,ARMN1,201.25,214.6,hm,NL,,
SAR,ARMN1,214.6,218.0,hm,NL,,
SAR,ARMN1,222.85,223.5,hm,NL,,
SAR,ARMN1,223.5,224.5,hm,NL,,
SAR,ARMN1,224.5,226.1,hm,NL,,
SAR,ARMN1,226.1,228.0,hm,NL,,
SAR,ARMN1,228.0,241.0,hm,NL,,
SAR,ARMN1,241.0,247.8,hm,NL,mt,NL
SAR,ARMN1,248.0,252.1,mt,NL,,
SAR,ARMN1,252.55,254.95,mt,NL,,
SAR,ARMN1,257.5,260.35,mt,NL,,
SAR,ARMN1,267.45,268.8,hm,NL,,
SAR,ARMN1,276.5,278.4,mt,NL,ch,NL
SAR,ARMN1,285.0,287.0,ch,NL,,
SAR,ARMN1,287.0,288.2,hm,NL,,
SAR,ARMN1,333.0,336.0,hm,NL,,
SAR,ARMN1,339.0,343.0,hm,NL,,
SAR,BLZ1,134.15,134.35,hm,NL,,
SAR,BLZ1,172.2,177.55,cb,NL,,
SAR,BLZ1,177.55,194.0,hm,NL,,
SAR,BLZ1,269.5,278.2,kf,NL,,
SAR,BLZ1,278.2,296.3,kf,NL,,
SAR,BLZ1,324.45,332.3,hm,NL,,
SAR,BLZ1,332.3,335.05,hm,NL,,
SAR,BLZ1,335.05,338.85,hm,NL,,
SAR,BLZ1,338.85,347.15,hm,NL,,
SAR,BLZ1,347.15,348.5,hm,NL,,
SAR,BLZ1,348.5,357.0,hm,NL,,
SAR,BLZ1,357.0,359.55,hm,NL,,
SAR,BLZ1,407.95,410.25,cb,NL,,
SAR,COMP_1,0.0,2.0,HM,P,LM,SEL
SAR,COMP_1,2.0,12.0,LM,CV,,
SAR,COMP_1,12.0,16.0,LM,P,,
SAR,COMP_1,56.0,58.0,CY,NL,,
SAR,DAR001,0.0,50.0,ka,NL,,
SAR,DAR001,80.2,102.0,cb,NL,ch,NL
SAR,DAR001,102.0,131.0,ch,NL,,
SAR,DAR001,131.0,135.5,mt,NL,ch,NL
SAR,DAR001,135.5,152.2,cb,NL,ch,NL
SAR,DAR001,152.2,156.8,si,NL,ch,NL
SAR,DAR001,156.8,190.1,ch,NL,,
SAR,DAR001,190.1,213.8,ch,NL,,
SAR,DAR001,217.4,300.0,ch,NL,,
SAR,DBD001,1.0,3.0,si,NL,,
SAR,DBD001,3.0,44.0,ka,NL,,
SAR,DD06PHE001,165.0,176.7,HRE,P,,
SAR,DD06PHE001,176.7,188.0,ch,P,HRE,P
SAR,DD06PHE001,188.0,207.7,cb,C,HRE,C
SAR,DD06PHE001,207.7,215.9,cb,C,HRE,C
SAR,DD06PHE001,215.9,218.1,ch,C,se,C
SAR,DD06PHE001,218.1,220.8,qt,P,,
SAR,DD06PHE001,222.3,223.63,ch,FD,se,FD
SAR,DD06PHE001,223.63,226.8,mt,C,se,FD
SAR,DD06PHE001,226.8,227.7,ch,FD,mt,D
SAR,DD06PHE001,227.7,230.65,mt,D,se,D
SAR,DD06PHE001,230.65,232.25,mt,C,ch,FD
SAR,DD06PHE001,232.25,238.3,mt,C,se,NL
SAR,DD06PHE001,238.3,240.5,mt,C,ch,FD
SAR,DD06PHE001,240.5,250.0,HRR,C,mt,D
SAR,DD06PHE001,250.0,254.0,ch,X,mt,D
SAR,DD06PHE001,254.0,255.1,mt,D,ch,FD
SAR,DD06PHE001,255.1,261.0,ch,C,se,P
SAR,DD06PHE001,261.0,261.8,ch,FD,se,P
SAR,DD06PHE001,261.8,264.0,ch,FD,se,P
SAR,DD06PHE001,264.0,264.5,ch,D,se,P
SAR,DD06PHE001,264.5,265.7,ch,D,se,P
SAR,DD06PHE001,265.7,271.3,ch,D,se,P
SAR,DD06PHE001,271.3,291.15,ch,D,se,P
SAR,DD06PHE001,291.15,292.7,ch,D,se,P
SAR,DD06PHE001,292.7,319.5,ch,D,mt,D
SAR,DD06PHE001,319.5,323.2,HRR,D,se,P
SAR,DD06PHE001,323.2,324.45,HDG,D,se,FD
SAR,DD06PHE001,324.45,332.1,ch,FD,HRE,D
SAR,DD06PHE001,332.1,332.35,ch,D,se,P
SAR,DD06PHE001,332.35,337.9,ch,FD,HRE,D
SAR,DD06PHE001,337.9,350.3,ch,C,se,P
SAR,DD06PHE001,350.3,355.85,ch,FD,HRE,D
SAR,DD06PHE001,355.85,362.0,ch,FD,HRE,C
SAR,DD06PHE001,362.0,362.7,ch,FD,se,P
SAR,DD06PHE001,362.7,367.6,ch,FD,HRE,D
SAR,DD06PHE001,367.6,369.9,ch,NL,se,P
SAR,DD06PHE001,369.9,415.3,ch,C,se,P
SAR,DD06PHE001,415.3,415.8,HRE,D,se,P
SAR,DD06PHE001,415.8,444.2,ch,C,se,P
SAR,DD06PHE001,444.2,448.7,ch,FD,HRE,D
SAR,DD06PHE001,448.7,468.0,ch,C,se,P
SAR,DD06PHE001,468.0,472.65,ch,C,HRE,D
SAR,DD06PHE001,472.65,477.9,ch,C,se,P
SAR,DD06PHE001,477.9,480.45,ch,C,se,P
SAR,DD06PHE001,480.45,486.1,ch,C,se,P
SAR,DD06PHE001,486.1,487.35,ch,D,se,P
SAR,DD06PHE001,487.35,526.33,ch,C,HRE,C
SAR,DD06PHE001,526.33,527.7,HDG,X,,
SAR,DD06PHE001,527.7,531.3,ch,FD,HRE,D
SAR,DD06PHE001,531.3,535.1,ch,D,se,D
SAR,DD06PHE001,535.1,565.24,HDG,D,se,D
SAR,DD06PHE001,565.24,568.55,HDG,D,se,D
SAR,DD06PHE001,568.55,591.1,HDG,D,se,C
SAR,DD06PHE001,591.1,596.1,ch,D,se,D
SAR,DD06PHE001,596.1,598.1,se,D,HRE,D
SAR,DD06PHE001,598.1,630.6,ch,FD,se,D
SAR,DD06PHE003,205.7,221.5,ch,C,se,P
SAR,DD06PHE003,221.5,223.7,se,C,HRE,P
SAR,DD06PHE003,223.7,224.55,ch,F,se,C
SAR,DD06PHE003,224.55,226.1,ch,C,se,C
SAR,DD06PHE003,226.1,232.5,ch,F,se,C
SAR,DD06PHE003,232.5,237.4,ch,F,se,C
SAR,DD06PHE003,237.4,240.5,ch,F,se,P
SAR,DD06PHE003,240.5,258.9,ch,F,se,P
SAR,DD06PHE003,261.0,268.5,se,C,HRE,P
SAR,DD06PHE003,268.5,271.05,HRE,P,se,P
SAR,DD06PHE003,271.05,275.35,se,P,ch,P
SAR,DD06PHE003,275.35,316.3,se,P,HRE,P
SAR,DD06PHE003,316.3,319.1,se,P,HRE,P
SAR,DD06PHE003,319.1,340.45,se,P,HRE,P
SAR,DD06PHE003,340.45,342.65,ch,C,se,C
SAR,DD06PHE003,342.65,346.8,ch,C,se,C
SAR,DD06PHE003,346.8,353.65,HDG,C,se,C
SAR,DD06PHE003,353.65,380.2,ch,F,se,C
SAR,DD06PHE003,380.7,381.65,ch,P,HDG,C
SAR,DD06PHE003,381.65,385.45,ch,C,HRE,P
SAR,DD06PHE003,385.45,386.9,ch,C,HRE,P
SAR,DD06PHE003,386.9,398.65,ch,C,se,C
SAR,DD06PHE003,398.65,398.9,cb,C,HRE,P
SAR,DD06PHE003,398.9,404.5,HRE,C,se,C
SAR,DD06PHE003,404.5,405.55,ch,C,se,C
SAR,DD06PHE003,405.55,407.9,HRE,P,ch,P
SAR,DD06PHE003,407.9,426.8,HRE,C,ch,P
SAR,DD06PHE003,426.8,440.6,HRE,P,ch,P
SAR,DD06PHE003,440.6,447.25,ch,P,HRE,P
SAR,DD06PHE003,447.25,450.9,ch,C,HRE,P
SAR,DD06PHE003,450.9,452.9,HRE,C,ch,P
SAR,DD06PHE003,452.9,458.9,HRR,C,ch,P
SAR,DD06PHE003,458.9,459.65,ch,F,HRE,P
SAR,DD06PHE003,459.65,468.7,ch,C,sd,C
SAR,DD06PHE004,132.6,135.6,mt,P,se,C
SAR,DD06PHE004,135.6,140.0,mt,P,se,C
SAR,DD06PHE004,140.0,150.3,mt,P,ch,P
SAR,DD06PHE004,150.3,160.0,HRR,C,mt,P
SAR,DD06PHE004,160.0,161.1,ch,D,HRR,P
SAR,DD06PHE004,161.1,165.6,HRR,C,mt,P
SAR,DD06PHE004,165.6,167.1,mt,P,ch,P
SAR,DD06PHE004,167.1,170.7,HRR,C,mt,P
SAR,DD06PHE004,170.7,172.8,cb,C,HRR,P
SAR,DD06PHE004,172.8,175.5,mt,P,ch,P
SAR,DD06PHE004,175.5,176.3,HRR,P,mt,P
SAR,DD06PHE004,176.3,179.0,mt,P,ch,P
SAR,DD06PHE004,179.0,179.4,ch,P,,
SAR,DD06PHE004,179.4,180.3,mt,P,ch,P
SAR,DD06PHE004,180.3,180.6,ch,P,,
