SiteId,PROJECT,PROSPECT,SiteType,TDEPTH,East,North,RL,Grid,Azimuth,Dip,North_Adjust,Site_Status,Date,Comments,geometry,latitude,longitude
94ACD39,SAR,BLZ,UN,170.2,568295.0,6725195.0,172.9,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.70529200924 -29.60120850492986),-29.601208504929858,135.70529200923997
94ACD40,SAR,SCP,UN,84.04,563728.0,6742963.0,152.7,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.6570937257172 -29.44110044907765),-29.44110044907765,135.6570937257172
94ACD44,SAR,WTH,UN,113.1,541728.0,6720624.0,216.73,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4311149687095 -29.64363555421389),-29.64363555421389,135.4311149687095
95AC45,SAR,AYR,UN,39.0,556928.0,6754169.0,141.51,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5864024156307 -29.34029417477491),-29.340294174774915,135.58640241563072
95AC46,SAR,AYR,UN,79.0,556928.0,6753569.0,141.21,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5864334142493 -29.34570919380938),-29.34570919380938,135.58643341424926
95AC47,SAR,AYR,UN,59.0,556728.0,6752829.0,141.73,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5844113487298 -29.3523967520458),-29.352396752045802,135.58441134872984
95AC48,SAR,AYR,UN,45.0,557128.0,6753069.0,140.93,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5885195172418 -29.35021263441633),-29.350212634416327,135.5885195172418
95AC49,SAR,AYR,UN,59.0,557128.0,6752769.0,141.12,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5885350777382 -29.35292013942973),-29.35292013942973,135.58853507773821
95AC50,SAR,AYR,UN,55.0,557528.0,6752829.0,140.53,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5926525784198 -29.35236039773245),-29.352360397732447,135.59265257841977
95AC52,SAR,AYR,UN,37.3,555728.0,6754169.0,143.51,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5740420078569 -29.3403479162947),-29.3403479162947,135.57404200785692
95AC53,SAR,AYR,UN,74.0,556088.0,6753549.0,142.92,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5777816931996 -29.34592744221413),-29.345927442214126,135.5777816931996
95AC54,SAR,BBT,UN,74.0,550128.0,6753259.0,146.34,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5164010795361 -29.34879644782427),-29.348796447824267,135.51640107953602
95AC55,SAR,BBT,UN,45.0,549228.0,6752969.0,147.08,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5071428599724 -29.35144929905665),-29.35144929905665,135.50714285997236
95AC56,SAR,BBT,UN,47.0,548728.0,6752969.0,144.05,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5019920653799 -29.35146877842257),-29.35146877842257,135.50199206537994
95AC57,SAR,BBT,UN,48.0,547978.0,6753529.0,144.17700000000005,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4942414730359 -29.34644353444362),-29.346443534443626,135.49424147303586
95AC58,SAR,BBT,UN,47.0,551628.0,6757769.0,142.84,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.531641851191 -29.30803238673949),-29.308032386739487,135.53164185119098
95AC61,SAR,FSH,UN,50.0,534528.0,6768119.0,132.76,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.3552342726951 -29.21520398410658),-29.215203984106584,135.3552342726951
95AC62,SAR,FSH,UN,41.0,531178.0,6769569.0,134.68,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.3207282024528 -29.20220400300978),-29.202204003009772,135.32072820245278
95AC63,SAR,FSH,UN,31.0,528528.0,6771399.0,129.58,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.29342092815 -29.18574972218102),-29.185749722181026,135.29342092815
95AC64,SAR,FSH,UN,41.0,528428.0,6771219.0,129.86,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.2923970100154 -29.18737658015485),-29.187376580154854,135.2923970100154
95AC67,SAR,JDM,UN,94.5,543578.0,6715169.0,217.6,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4504471701784 -29.69280224127512),-29.692802241275125,135.45044717017842
95AC68,SAR,JDM,UN,91.0,542128.0,6714869.0,223.25,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4354711814777 -29.69555978561653),-29.69555978561653,135.43547118147774
95AC69,SAR,JDM,UN,109.6,542128.0,6715569.0,223.95,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4354439418803 -29.68924244664214),-29.68924244664214,135.4354439418803
95AC70,SAR,JDM,UN,153.0,542128.0,6716619.0,222.14,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4354030987468 -29.679766426834),-29.679766426834,135.4354030987468
95AC72,SAR,JDM,UN,81.0,544478.0,6716169.0,213.82,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4597087630548 -29.68374553753826),-29.68374553753826,135.45970876305483
95AC73,SAR,JDM,UN,131.0,544053.0,6716094.0,216.28,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4553192811196 -29.68443756150491),-29.68443756150491,135.45531928111959
95AC77,SAR,JDM,UN,82.0,545303.0,6715369.0,208.71,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4682689027388 -29.69093546845048),-29.690935468450483,135.4682689027388
95AC79,SAR,JDM,UN,153.0,544828.0,6717169.0,207.75,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4632847601418 -29.67470818417423),-29.67470818417423,135.46328476014185
95AC80,SAR,BBT,UN,70.5,550928.0,6750349.0,150.52,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5247767416712 -29.37502734127371),-29.375027341273714,135.52477674167125
95AC81,SAR,BBT,UN,51.0,550928.0,6750869.0,150.93,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5247526715018 -29.37033429651058),-29.370334296510574,135.5247526715018
95AC82,SAR,BBT,UN,51.5,550928.0,6751269.0,150.27,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5247341598727 -29.36672425981621),-29.366724259816213,135.52473415987268
95AC83,SAR,BBT,UN,42.5,550928.0,6751819.0,149.55,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5247087118988 -29.36176045615121),-29.36176045615121,135.5247087118988
95AC85,SAR,BBT,UN,50.0,550528.0,6753219.0,147.06,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5205234336108 -29.34914144152611),-29.34914144152611,135.52052343361083
95AC86,SAR,BBT,UN,74.0,550128.0,6752769.0,145.82,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5164233803142 -29.35321876026448),-29.35321876026448,135.5164233803142
95AC87,SAR,BBT,UN,61.0,550128.0,6753429.0,146.25,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5163933436965 -29.34726217547233),-29.347262175472327,135.51639334369656
95AC88,SAR,BBT,UN,69.0,549928.0,6753769.0,145.54,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5143177055095 -29.34420158613521),-29.34420158613521,135.51431770550948
95AC89,SAR,BBT,UN,49.7,549328.0,6753669.0,144.71,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5081416727495 -29.34512777937461),-29.345127779374607,135.50814167274947
95AC90,SAR,BBT,UN,50.0,549928.0,6754269.0,145.04,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5142950507852 -29.33968901478993),-29.33968901478993,135.51429505078517
95AC93,SAR,VEN,UN,51.5,540828.0,6767879.0,133.59,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4200580401632 -29.21718231891769),-29.21718231891769,135.42005804016318
95AC94,SAR,VEN,UN,116.7,538838.0,6767039.0,138.13,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.3996138146173 -29.22482640649662),-29.224826406496625,135.39961381461728
95AC95,SAR,VEN,UN,43.0,539028.0,6767039.0,137.55,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.401568732072 -29.22482055267311),-29.224820552673112,135.40156873207198
95AC96,SAR,VEN,UN,47.0,540578.0,6765669.0,133.19,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4175668881455 -29.23713655226597),-29.23713655226597,135.41756688814547
95AC97,SAR,VEN,UN,53.0,541328.0,6764719.0,137.08,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4253200189418 -29.24568635835231),-29.245686358352305,135.4253200189418
95ACD51,SAR,AYR,UN,60.28,557128.0,6753079.0,140.92,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5885189985952 -29.35012238423014),-29.350122384230147,135.58851899859525
95ACD59,SAR,VEN,UN,114.28,540728.0,6768119.0,133.83,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4190204007568 -29.21501944035094),-29.215019440350943,135.41902040075678
95ACD60,SAR,VEN,UN,80.93,541128.0,6767599.0,133.31,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4231549000922 -29.21969971330814),-29.219699713308138,135.42315490009221
95ACD65,SAR,JDM,UN,144.02,543078.0,6716344.0,222.53,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4452322713532 -29.68221561498745),-29.68221561498745,135.44523227135318
95ACD66,SAR,JDM,UN,125.6,543328.0,6715769.0,222.03,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4478390824207 -29.68739614780777),-29.68739614780777,135.4478390824207
95ACD71,SAR,JDM,UN,134.44,543578.0,6716069.0,220.06,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4504109491284 -29.68467996028819),-29.684679960288182,135.45041094912838
95ACD74,SAR,JDMS,UN,299.72,544568.0,6714939.0,212.19,GDA94_53S,240.0,-55.0,0.0,,,Drilled by Normandy Exploration Limited Logging = 98m depth to basement,POINT (135.4606895740412 -29.69484274090854),-29.694842740908538,135.46068957404123
95ACD75,SAR,JDMS,UN,227.04,544248.0,6714699.0,213.36,GDA94_53S,45.0,-55.0,0.0,,,Drilled by Normandy Exploration Limited Logging = 108m depth to basement,POINT (135.4573917038037 -29.69702013996316),-29.697020139963165,135.45739170380372
95ACD76,SAR,JDMSE,UN,123.0,545458.0,6714289.0,207.12,GDA94_53S,360.0,-90.0,0.0,,,Drilled by Normandy Exploration Limited Logging = 67m depth to basement,POINT (135.4699163529166 -29.70067649599976),-29.700676495999762,135.46991635291664
95ACD78,SAR,JDMS,UN,119.0,544508.0,6715304.0,212.69,GDA94_53S,360.0,-90.0,0.0,,,Drilled by Normandy Exploration Limited Logging = 83m depth to basement,POINT (135.4600543774524 -29.69155086676333),-29.69155086676333,135.46005437745242
95ACD84,SAR,BBT,UN,102.07,550128.0,6753259.0,146.34,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5164010795361 -29.34879644782427),-29.348796447824267,135.51640107953602
95ACD91,SAR,VEN,UN,99.1,540928.0,6768089.0,133.42,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4210791147189 -29.21528374413347),-29.215283744133462,135.42107911471894
95ACD92,SAR,VEN,UN,57.1,540543.0,6768049.0,133.78,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4171196729027 -29.21565716770014),-29.215657167700144,135.41711967290271
96AC100,SAR,MXA1,UN,73.0,538328.0,6717769.0,220.11,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.3960893193668 -29.66951108578146),-29.669511085781465,135.39608931936684
96AC101,SAR,JDM,UN,123.0,543808.0,6716699.0,215.72,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4527626283837 -29.67898625722421),-29.67898625722421,135.45276262838362
96AC102,SAR,WTH,UN,89.0,547028.0,6721519.0,211.337,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4858318689671 -29.63536906088418),-29.635369060884184,135.4858318689671
96AC103,SAR,WTHN,UN,102.1,547128.0,6722769.0,201.203,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4868106639717 -29.62408428533636),-29.624084285336362,135.48681066397162
96AC104,SAR,WTHN,UN,100.0,547128.0,6722819.0,201.146,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4868084948787 -29.62363304543654),-29.623633045436538,135.48680849487874
96AC105,SAR,PKNE,UN,24.05,544128.0,6728709.0,177.5,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4555819178384 -29.57058662343857),-29.57058662343857,135.45558191783837
96AC106,SAR,PKNE,UN,28.5,543288.0,6729569.0,173.2,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4468757247504 -29.5628546510286),-29.5628546510286,135.4468757247504
96AC107,SAR,PKNE,UN,33.0,542608.0,6731629.0,170.59,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4397755330696 -29.54428667691826),-29.544286676918265,135.43977553306962
96AC108,SAR,PKNN,UN,47.0,537928.0,6730169.0,172.86,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.3915230175753 -29.55761427671606),-29.557614276716052,135.3915230175753
96AC109,SAR,PKNN,UN,33.0,536928.0,6730169.0,170.01,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.3812004138258 -29.55764429844942),-29.557644298449425,135.38120041382578
96AC111,SAR,WTHSE,UN,85.0,550828.0,6715969.0,206.99,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.525347333287 -29.68530651376076),-29.68530651376076,135.52534733328704
96AC112,SAR,WTHE,UN,90.5,555128.0,6717969.0,214.0,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5696876956341 -29.66707363208176),-29.66707363208176,135.56968769563414
96AC113,SAR,TUR,UN,135.0,559128.0,6720669.0,195.68,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.6108742551467 -29.6425231953748),-29.6425231953748,135.61087425514668
96AC118,SAR,SOL,UN,66.0,551628.0,6744819.0,148.75,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5322493398068 -29.42490722462127),-29.42490722462127,135.53224933980684
96AC119,SAR,SOL,UN,66.5,551628.0,6744919.0,148.56,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5322446350114 -29.42400472412006),-29.42400472412006,135.53224463501138
96AC120,SAR,SOL,UN,48.5,550628.0,6745219.0,149.07,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5219219294778 -29.4213380062901),-29.421338006290103,135.52192192947777
96AC122,SAR,MRC,UN,36.0,550208.0,6740169.0,155.55,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5178236019546 -29.46693114476249),-29.466931144762487,135.51782360195463
96AC123,SAR,MRC,UN,48.1,549978.0,6740069.0,155.82,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5154561256488 -29.46784284942506),-29.467842849425057,135.5154561256488
96AC124,SAR,TUR,UN,144.0,559168.0,6720169.0,198.28,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.6113147519313 -29.64703358156817),-29.64703358156817,135.6113147519313
96AC125,SAR,JDMSE,UN,93.0,544728.0,6714559.0,210.46,GDA94_53S,360.0,-90.0,0.0,,,Drilled by Normandy Exploration Limited,POINT (135.4623591170274 -29.69826637676194),-29.698266376761932,135.4623591170274
