MAP_SYMBOL,GIS_CODE,STRAT_NAME,STRAT_UNIT_DESC
"ALm7","ALm-----07","Mulgathing Complex unit 7","Lake Harris Komatiite, acid volcanics, metasediments (Kychering Formation) of Harris Greenstone Belt; ~2520Ma."
"ALm8","ALm-----08","Mulgathing Complex unit 8","Tonalite, hematite-stained, with biotite, sericite±epidote and minor muscovite; micro-tonalite. Central Gawler Craton, south of Mount Woods Domain."
"ALma","ALm--a","Aristarchus Peridotite","Peridotite; pyroxenite; norite and gabbro cumulate. Intruded by tonalite and granodiorite."
"ALmb","ALm--b","Blackfellow Hill Pyroxenite","Gabbro, norite. Concordant with carbonate and BIF."
"ALmc","ALm--c","Christie Gneiss","Gneiss with migmatitic layers, paragneiss, carbonate, calcsilicate, quartzite. Age (U-Pb)2437+/-11Ma. With banded iron formation."
"ALmc2","ALm--c--02","Christie Gneiss unit 2","Banded iron formation: qtz-mgt-diop-hyp-amph gneiss; qtz- microcline-plag gneiss. Age(U-Pb)2437+/-11Ma. BARTON sheet."
"ALmc3","ALm--c--03","Christie Gneiss unit 3","Massive, foliated dark granulite with ortho- and clinopyroxene. Based on APm1 on TALLARINGA."
"ALmd","ALm--d","Devils Playground Volcanics","Basalt to andesite, green-grey, lava, breccia, tuff, often porphyritic; rhyodacite, pink-grey, lava, tuff, occasionally porphyritic or spherulitic. Greenschist facies, moderate variable foliation.  U-Pb age 2558+/-6Ma."
"ALmg","ALm--g","Glenloth Granite","Granite, granodiorite, pink-brown to grey, quartz, microcline and plagioclase. With remnants of gneiss and biotite and hornblende schlieren. ~2509-2436 Ma."
"ALmh","ALm--h","Hopeful Hill Basalt","Meta-tholeiitic basalt, medium to fine-grained, with plagioclase, hornblende and diopside."
"ALmk","ALm--k","Kenella Gneiss","Gneiss, local pegmatitic separations. ?metavolcs. Concordant with ALmc."
"ALml","ALm--l","Lake Harris Komatiite","Metabasic rock, bright green, illite- tremolite- chlorite-serpentine; green-grey komatiite."
"ALmm","ALm--m","Mobella Tonalite","Tonalite, grey, coarse-grained, poorly foliated, plagioclase-quartz-biotite. Synorogenic, 2487 Ma."
"ALms","ALm--s","South Lake Gabbro","Metagabbro, with plagioclase and pyroxene."
"ALmy","ALm--y","Kychering Formation","Metasiltstone; pelite; metasandstone; metachert; marble; calcsilicate rock; ironstone; banded iron formation; felsic volcanics. Greenstone to middle amphibolite grade."
"ALmym","ALm--ym","Mullina Volcanics Member","Felsic volcanics: dacite, andesite, rhyodacite, rhyolite; U-Pb zircon age 2522+/-8Ma."
"ALs","ALs","Sleaford Complex","Paragneiss, arenaceous and aluminous; iron formation; granitic gneiss; felsic and mafic-ultramafic volcanic and intrusive rocks. Granulite to amphibolite facies. Protoliths ~2525–2410 Ma."
"ALs1","ALs-----01","Sleaford Complex unit 1","Iron formation."
"ALs2","ALs-----02","Sleaford Complex unit 2","Banded mafic granulite."
"ALs3","ALs-----03","Sleaford Complex unit 3","Paragneiss, garnetiferous, migmatitic, K-feldspar porphyroblasts."
"ALs4","ALs-----04","Sleaford Complex unit 4","Medium-grained gneissic granodiorite."
"ALsa","ALs--a","Carpa Granite","Granite, pink, medium-grained, equigranular, quartz-feldspar-biotite-muscovite+/-garnet, weakly foliated.  Crystallisation 2517-2513Ma, metamorphism 1724Ma (U-Pb)."
"ALsc","ALs--c","Carnot Gneisses","Garnet gneiss; porphyroblastic gneiss; paragneiss; basic granulite; layered garnet gneiss; felsic gneiss. Interpreted as metasediments, tholeiitic basalt and synorogenic intrusives."
"ALsc1","ALs--c--01","Carnot Gneisses unit 1","Paragneiss, banded; garnet-biotite quartz feldspar gneiss; porphyroblastic cordierite-sillimanite quartz feldspar gneiss. Age: 2412+/-72 Ma. LINCOLN sheet."
"ALsc2","ALs--c--02","Carnot Gneisses unit 2","Orthogneiss; foliated K feldspar granite to augen gneiss. Age: 2436+/-137 Ma (Rb-Sr whole rock); massive to compositionally banded felsic gneiss. Age: 2637+/-21 Ma.  LINCOLN sheet."
"ALsh","ALs--h","Hall Bay Volcanics","Felsic metavolcanics; epiclastics; metasandstone; now dominated by ""quartz-eye"" schist; 2720+/-7Ma (U-Pb)."
"ALsi","ALs--i","Minbrie Gneiss","Granite gneiss; augen gneiss; migmatitic gneis, layered; pegmatite; amphibolite. Upper amphibolite to granulite facies. Crystallisation 2521-2411Ma, metamorphism 1738-1733Ma (U-Pb)."
"ALsm","ALs--m","Massena Bay Gneisses","Gneiss, banded, quartz-feldspar-biotite; quartzofeldspathic orthogneiss with rounded mafic inclusions, migmatitic leucosomes, LINCOLN sheet."
"ALsw","ALs--w","Wangary Gneiss","Gneiss, microcline-plagioclase-quartz-biotite-muscovite. Age 2380+/-60 Ma (Rb-Sr); 2445+/-32 Ma (U-Pb)."
"AM","AM","Archaean-Mesoproterozoic rocks","Undifferentiated Archaean to Mesoproterozoic rocks."
"AM1","AM------01","Archaean-Mesoproterozoic unit 1","Undifferentiated Archaean to Mesoproterozoic rocks of Nawa Domain (including Middle Bore Ridge): undifferentiated granite, granite gneiss and orthogneiss."
"AM10","AM------10","Archaean-Mesoproterozoic unit 10","Crustal element Kanmantoo Penola: pre-Neoproterozoic basement to Stansbury Basin-Kanmantoo Trough."
"AM11","AM------11","Archaean-Mesoproterozoic unit 11","Crustal element Kanmantoo SW: pre-Neoproterozoic basement to Stansbury Basin-Kanmantoo Trough."
"AM12","AM------12","Archaean-Mesoproterozoic unit 12","Sandstone, fine-grained, dark, iron-rich, low metamorphic grade; siltstone, red-pale, banded; banded iron formation; conglomerate. Eastern Gawler Craton, southeast of Mount Woods Domain.  Max. dep. ~2700Ma."
"AM2","AM------02","Archaean-Mesoproterozoic unit 2","Crustal element Thomson: pre-Neoproterozoic basement to Warburton Basin."
"AM3","AM------03","Archaean-Mesoproterozoic unit 3","Crustal element Bourke: pre-Neoproterozoic basement to Warburton Basin."
"AM4","AM------04","Archaean-Mesoproterozoic unit 4","Crustal element Wonominta: pre-Neoproterozoic basement to Warburton Basin."
"AM5","AM------05","Archaean-Mesoproterozoic unit 5","Crustal element Muloorina: pre-Neoproterozoic basement to Adelaide Geosyncline."
"AM6","AM------06","Archaean-Mesoproterozoic unit 6","Crustal element North Flinders: pre-Neoproterozoic basement to Adelaide Geosyncline."
"AM7","AM------07","Archaean-Mesoproterozoic unit 7","Crustal element Adelaide: pre-Neoproterozoic basement to Adelaide Geosyncline."
"AM8","AM------08","Archaean-Mesoproterozoic unit 8","Crustal element Kanmantoo Main: pre-Neoproterozoic basement to Stansbury Basin-Kanmantoo Trough."
"AM9","AM------09","Archaean-Mesoproterozoic unit 9","Crustal element Glenelg: pre-Neoproterozoic basement to Stansbury Basin-Kanmantoo Trough."
"AO","AO","Archaean-Ordovician rocks","Undifferentiated Archaean to Ordovician rocks."
"C","C-","Carboniferous rocks","Undifferentiated Carboniferous rocks."
"C-b","C----b","Big Lake Suite","Granite, fine to medium-grained, quartz, sodic feldspar, muscovite mica. Grading to granodiorite. Age: 310+/-17, 342+/-28 Ma."
"CK","CK","Carboniferous-Cretaceous rocks","Undifferentiated Carboniferous to Cretaceous rocks."
"CK1","CK------01","Carboniferous-Cretaceous unit 1","Boorthanna Formation, Stuart Range Formation, Cadna-owie Formation and Bulldog Shale: KINGOON DHDB."
"CP","CP","Carboniferous-Permian rocks","Undifferentiated Carboniferous-Permian rocks."
"CP-a","CP---a","Alpana Formation","Till, lodgement; Sand, proglacial; sandstone with lonestones."
"CP-b","CP---b","Boorthanna Formation","Diamictite with shale intercalations in the basal unit, the upper unit with rhythmically bedded coarse and fine-grained clastics. Subaqueous deposition of glacial debris transported as mud flows."
"CP-c","CP---c","Crown Point Formation","Sandstone; sandy and pebbly diamictite. Lacustrine outflow, fluvio-glacial and glacio-lacustrine."
"CP-j","CP---j","Cape Jervis Formation","Glacio-marine and fluvioglacial sediments and residual erratics."
"CP-j1","CP---j--01","Cape Jervis Formation unit 1","Sand, gritty, kaolinised, cross-bedded, fluviatile; claystone; wood fragments and leaf fossils. KINGSCOTE 1:250 000."
"CP-o","CP---o","Coolardie Formation","Glacial, glacially derived sediments, lithic fragments, with cobbles, pebbles, and sand fragments of igneous, metamorphic and sedimentary origin."
"CP-p","CP---p","Purni Formation","Sandstone; shale; coal. Flood plain environment, swamps."
"CP1","CP------01","Carboniferous-Permian unit 1","Till, clay, silt, sand, gravel and coal. Glaciomarine, fluvioglacial and fluviolacustrine. Arckaringa and Troubridge Basins, and Alpana Formation."
"CP2","CP------02","Carboniferous-Permian unit 2","Radium Ridge Breccias and Mount Gee Sinter: hydrothermal deposits.  State 1:2 000 000 geology map (2001)."
"CPg","CP-g","Gidgealpa Group","Sandstone; siltstone; coal. Fluvial, lacustrine, swamp and fluviodeltaic."
"CPgi","CP-g-i","Tirrawarra Sandstone","Conglomerate; sandstone, medium to coarse-grained; mudstone. Fluvial, alluvial fans, distal proglacial outwash, backswamp, minor coal."
"CR","CR","Carboniferous-Triassic rocks","Undifferentiated Carboniferous-Triassic rocks."
"Cgl","CP-g-l","Merrimelia Formation","Conglomerate, polymict, framework supported, massive;  fluvio-glacial conglomerate, diamictite and sandstone. Glacigene, deep-water lacustrine rhythmites, fluvio-glacial outwash, etc."
"D","D-","Devonian rocks","Undifferentiated Devonian rocks."
"D-m","D----m","Mimili Formation","Lower f.g.-m.g. micaceous arkosic sandstone; middle fossiliferous micaceous calcareous siltstone and mudstone, minor siltstone, sandstone; upper ferruginised muddy f.g.-m.g. sandstone."
"D-o","D----o","Ooloo Hill Formation","Slate, siltstone, laminated, massive; sandstone to greywacke, massive, bedded; conglomerate; basalt lava, vesicular to massive; tuff; shale with marine fossils.  MARREE 1:250 000 revised edition.  K-Ar age 400.4±8 to 366.9±9Ma."
"D-o1","D----o--01","Ooloo Hill Formation unit 1","Slate and siltstone, laminated and massive, dark grey to tan, slump and sedimentary structures; quartz sandstone, intercalated, f.g.-m.g. and rarer c.g., pale-hued, weathered lithic and feldspar grains. MARREE 1:250 000 revised edition."
"D-o2","D----o--02","Ooloo Hill Formation unit 2","Basalt, dark grey, black, dark greenish grey, vesicular to massive; sandstone, quartzite, arkose, greywacke, m.g-f.g., pale grey-buff; massive to weakly bedded; conglomerate, polymict; sediment and tuff, f.g., laminated, dark-hued; shale, dark grey-black, marine fossils. MARREE 1:250 000 revised edition.   K-Ar age 400.4±8 to 366.9±9Ma."
"D1","D-------01","Devonian unit 1","Informal Nultaddy seismic unit; shale, calcareous and sandy in part; kaolinitic sandstone in Boorthanna 1 may be represented; WARRINA sheet."
"D2","D-------02","Devonian unit 2","?Devonian sediments in SA portion of Darling Basin: MURRAY DHDB."
"D3","D-------03","Devonian unit 3","Quartz sandstone, medium-coarse, cross-bedded, friable, minor shale. Based on Pz on DALHOUSIE, ?D on ABMINGA."
"Df","D--f","Finke Group","Shale, brick-red silty; siltstone; fine interbeds of fine-grained, rippled sandstone."
"Dp","D--p","Pertnjara Group","Sandstone, siltstone, conglomerate, minor limestone. Fish remains."
"Dpp","D--p-p","Parke Siltstone","Mudstone, olive-green-grey micaceous calcareous; minor siltstone and fine-grained sandstone; fossiliferous; red-brown gypsiferous mudrock and sandstone."
"E","E-","Cambrian rocks","Undifferentiated Cambrian rocks."
"E-c","E----c","Cootanoorina Formation","Dolomite, grey-green, pyritic, mag-lime mud, laminated; dolomite, crossbedded, sandy; sandstone, very fine-grained with mud drapes. Evaporites throughout."
"E-d","E----d","Diamond Bog Dolomite","Dolomite."
"E-j","E----j","Jena Basalt","Basalt, within-plate, amygdaloidal; hyaloclastite; basalt, porphyritic and trachytic."
"E-l","E----l","Levenger Formation","Shale, red; siltstone, laminated; sandstone, arkosic; conglomerate."
"E-m","E----m","Mooracoochie Volcanics","Tuff; lapilli-tuff; trachyte; rhyolite and crystal tuff; conglomerate and agglomerate; 517±9Ma."
"E-mt","E----mt","Taloola Ignimbrite Member","Ignimbrite."
"E-o","E----o","Moorilyanna Formation","Conglomerate, well-rounded; grit, arkosic; minor quartzite, slate and dolomite."
"E-o1","E----o--01","Moorilyanna Formation unit 1","Quartzite; underlain by lenticular purple slate and dolomite. Basal unit."
"E-o2","E----o--02","Moorilyanna Formation unit 2","Conglomerate, ""tillitic""; minor purple slate."
"E-o3","E----o--03","Moorilyanna Formation unit 3","Quartzite bands (presumed)."
"E-o4","E----o--04","Moorilyanna Formation unit 4","Conglomerate, basement clasts well-rounded, green shaly matrix."
"E-o5","E----o--05","Moorilyanna Formation unit 5","Grit, arkosic, coarse-grained; minor conglomerate, slate and sandstone interbeds."
"E-r","E----r","Mount Crispe beds","Sandstone, burrowed, interbedded very fine to fine-grained and granular; buff-green fine-grained sandstone."
"E-t","E----t","Table Hill Volcanics","Basalt, massive and altered amygdaloidal, grey-green, dark grey, red-brown, brown-green; sandstone interbeds, thin; underlying greywacke, grey, silicified, feldspathic; sandstone, red-brown and green, fine-grained, friable. Age 504±18Ma Pb-Pb (zirconolite, WA)."
"E1","E-------01","Cambrian unit 1","Basic volcanics, metadolerite, amphibolite, metasediments. South-East geology map revision."
"E2","E-------02","Cambrian unit 2","MOORILYANNA FORMATION, LEVENGER FORMATION: conglomerate, arkose, shale and siltstone."
"E3","E-------03","Cambrian unit 3","Feldspathic sandstone and siltstone, claystone; granitic conglomerate. Based on ?E on ABMINGA."
"ED","ED","Cambrian-Devonian rocks","Undifferentiated Cambrian-Devonian rocks."
"EK","EK","Cambrian-Cretaceous rocks","Undifferentiated Cambrian to Cretaceous rocks."
"EK1","EK------01","Cambrian-Cretaceous unit 1","White to grey sand, bimodal gritty sand, partly pebbly local basal grit. AGSO-MESA Officer Basin seismic transect."
"EO","EO","Cambrian-Ordovician rocks","Undifferentiated Cambrian-Ordovician rocks."
"EO-k","EO---k","Kalladeina Formation","Limestone: ooid-oncolite packstone, recrystallised, with silicified trilobites."
"EO-k1","EO---k--01","Kalladeina Formation unit 1","Tuff, agglomerate, alkali within-plate basalt: STRZELECKI sheet."
"EO-kc","EO---kc","Coongie Limestone Member","Limestone; dolomitic limestone."
"EO1","EO------01","Cambrian-Ordovician unit 1","Kanmantoo Group and Delamerian igneous rocks: MURRAY DHDB."
"EO2","EO------02","Cambrian-Ordovician unit 2","Sandstone, pale grey, red-brown and purple; siltstone and shale, red-brown. Based on EO on DALHOUSIE."
"EO3","EO------03","Cambrian-Ordovician unit 3","Cambrian to Ordovician volcanics. From Pzv, Archaean to Ordovician tectonic map of SA."
"EO4","EO------04","Cambrian-Ordovician unit 4","Diamond Bog Dolomite; Kalladeina Formation: limestone, dolomite, siltstone, shale and sandstone; Pando Formation:glauconitic sandstone."
"EO5","EO------05","Cambrian-Ordovician unit 5","Clastic and carbonate sediments, felsic volcanics, mafic volcanics of Warburton Basin (undifferentiated)."
"EOd","EOd","Delamerian igneous rocks","Undifferentiated Delamerian igneous rocks; contains named units."
"EOd1","EOd-----01","Delamerian igneous unit 1","Felsic volcanic rocks."
"EOd10","EOd-----10","Delamerian igneous unit 10","Lamprophyre dykes. Based on unit ld on OLARY; alkaline ultramafic rock, vesicular, Kangaroo Island, age 469+/-19 Ma (U-Pb)."
"EOd11","EOd-----11","Delamerian igneous unit 11","Adamellite, pink, medium- to coarse-grained, equigranular, quartz-feldspar-hornblende-biotite. Based on Odg1a, PINNAROO."
"EOd12","EOd-----12","Delamerian igneous unit 12","Granite, pink, medium- to coarse-grained, equigranular, quartz-feldspar-hornblende-biotite. Based on Odg1b, PINNAROO."
"EOd13","EOd-----13","Delamerian igneous unit 13","Leucogranite, fine- to coarse-grained, equigranular, red to pink, fluorite-bearing. Based on Odg2, PINNAROO."
"EOd14","EOd-----14","Delamerian igneous unit 14","Migmatised metasediment. Metamorphic differentiated layering. Highly contorted and disrupted sedimentary layering, poorly preserved."
"EOd15","EOd-----15","Delamerian igneous unit 15","Granitised metasediments: partially melted and recrystallised metasediment with granitic texture and composition."
"EOd16","EOd-----16","Delamerian igneous unit 16","Mylonite, mylonitised rocks."
"EOd17","EOd-----17","Delamerian igneous unit 17","Tourmalite; metasomatic quartz-tourmaline rock."
"EOd18","EOd-----18","Delamerian igneous unit 18","Pegmatite."
"EOd19","EOd-----19","Delamerian igneous unit 19","Diorite."
"EOd20","EOd-----20","Delamerian igneous unit 20","Grey adamellite with large feldspar phenocrysts. Pzl plain red, NARACOORTE (corrected version)."
"EOd21","EOd-----21","Delamerian igneous unit 21","Granite, microgranite, quartz porphyry, rhyolite. Pzl with white dots, NARACOORTE (corrected version)."
"EOd22","EOd-----22","Delamerian igneous unit 22","Leucogranite, non-magnetic, Newikie 1:50 000 sheet. BURRA 2nd Ed: interim unit for compilation."
"EOd23","EOd-----23","Delamerian igneous unit 23","Undifferentiated syn-Delamerian mafic intrusive rocks."
"EOd24","EOd-----24","Delamerian igneous unit 24","Undifferentiated pre/syn-Delamerian felsic intrusive rocks;  includes Rathjen Gneiss; 564+/-57 - 486+/-6Ma."
"EOd25","EOd-----25","Delamerian igneous unit 25","Undifferentiated late/post-Delamerian felsic intrusive rocks; includes Murray Bridge and Mannum Granites; 497+/-10 - 471+/-12Ma."
"EOd26","EOd-----26","Delamerian igneous unit 26","Undifferentiated Late/post-Delamerian mafic-ultramafic intrusive rocks; includes Black Hill Norite; 497+/-10 - 482+/-20 Ma."
"EOd27","EOd-----27","Delamerian igneous unit 27","Late/post-Delamerian felsic intrusives: British Empire Granite and Mudnawatana Tonalite; 442+/-6 - 427+/-133Ma."
"EOd28","EOd-----28","Delamerian igneous unit 28","Dolerite, altered, cream euhedral feldspar phenocrysts, grey matrix.  N to NE-trending dykes, Radium Hill area."
"EOd29","EOd-----29","Delamerian igneous unit 29","Soda leucogranite, albitite, soda aplite, white, medium grained. Based on red unit on COPLEY. U-Pb age 505+/-4Ma (zircon), Sm-Nd age 496+/-8Ma."
"EOd3","EOd-----03","Delamerian igneous unit 3","Dolerite dykes: WARRINA sheet."
"EOd30","EOd-----30","Delamerian igneous unit 30","Breccia: phlogopite, with minor pyrite, magnetite, ilmenite, garnet, spinel, dolomite, calcite, biotite, Mg-riebeckite, tremolite, with metasomatised country rock fragments. Possibly hydrothermal and encloses sodic leucogranite plugs."
"EOd4","EOd-----04","Delamerian igneous unit 4","Undifferentiated Delamerian felsic intrusives. Early I- and S-type, late A-type, ~514-480 Ma."
"EOd5","EOd-----05","Delamerian igneous unit 5","Undifferentiated Delamerian mafic igneous rocks."
"EOd6","EOd-----06","Delamerian igneous unit 6","Granite/granodiorite near ""Bendigo"". BURRA 2nd Ed: interim unit for compilation."
"EOd7","EOd-----07","Delamerian igneous unit 7","Porphyritic rhyolite dykes.  Age 488+/-86 Ma (U-Pb), Cape Gantheaume."
"EOd8","EOd-----08","Delamerian igneous unit 8","Acid dykes: pegmatite, microgranite, aplite, rhyolite, rhyodacite. Based on unit ad on OLARY."
"EOd9","EOd-----09","Delamerian igneous unit 9","Intermediate dykes: dacite, trachyandesite, micromonzonite and microdiorite porphyry. Based on unit id on OLARY."
"EOda","EOd--a","Anabama Granite","Granite to granodiorite, coarse-grained, biotitic. S-type to ?I-type. Age 458+/-62 Ma (IR=0.707)."
"EOdb","EOd--b","Bungadillina Monzonite","Monzonite, porphyritic; syenite; diorite; albitite. Minor granite, adamellite and granodiorite. A-type, ?pre-tectonic. Age 527+/-27Ma (U-Pb)."
"EOdc","EOd--c","Marcollat Granite","Granite, green to olive-green, coarse-grained; green feldspars, smoky quartz and amphibole.  A-type, post-tectonic."
"EOde","EOd--e","Encounter Bay Granite","Granite, megacrystic and even-grained, blue quartz, metasediment xenoliths, metasomatic albitisation. Hybrid phases as inclusions. I-type to marginally S-type. Possibly syn-DD1, pre DD2. Age 504+/-8Ma (IR = 0.717)."
"EOdf","EOd--f","Flinders Chase Granite","Granite, grey, coarse-grained, quartz+feldspar+biotite. Foliated around the margins."
"EOdh","EOd--h","Tanunda Creek Gneiss","Gneiss, coarse-grained, porphyritic, qtz+feld+bio+hbl; strongly foliated with well-defined biotite lineation. Pre- to syn-tectonic. Related to Rathjen Gneiss?."
"EOdk","EOd--k","Remarkable Granite","Granite, grey, medium-grained, equigranular biotite granite. Minor metasedimentary xenoliths."
"EOdl","EOd--l","Black Hill Norite","Gabbro and norite, medium-grained. Related to A-type granites. Post tectonic. Age 476+/-5Ma (Rb-Sr, IR=0.707)."
"EOdm","EOd--m","Mannum Granite","Granite, medium to coarse-grained biotite-rich. A-type. Post-tectonic. Age 481+/-9 Ma (Rb-Sr, IR=0.7057)."
"EOdn","EOd--n","Monarto Granite","Adamellite, fine-grained, foliated. Possibly syn-DD2."
"EOdo","EOd--o","Mount Monster Porphyry","Rhyolite, porphyritic, quartz and tabular feldspar phenocrysts; orange-brown or  grey-green groundmass with feldspar phenocrysts; Flow banded, may be welded ash flow in part. A-type, post-tectonic. Age 464+/-7Ma (U-Pb)."
"EOdp","EOd--p","Palmer Granite","Granite, albitised intrusives; medium to coarse-grained granodiorite, aplite and adamellite, strong biotite lineation, metasedimentary xenoliths. Age 479+/-15Ma. (Rb-Sr, IR = 0.7086)."
"EOdq","EOd--q","Stun Sail Boom Granite","Granite, deformed, medium-grained, porphyritic, quartz-plagioclase-biotite, opalescent blue quartz phenocrysts and large feldspar megacrysts. Syn-tectonic. Age: 505+/-7 Ma (U-Pb)."
"EOdr","EOd--r","Rathjen Gneiss","Gneiss, fine to coarse-grained oligoclase-microcline-quartz-biotite-hornblende, granitic. I-type. biotite-defined lineation and foliation, crunulated in places.  Rare metasedimentary xenoliths. Pre- to syn-DD1.  Age 516+/-4 Ma (U-Pb)."
"EOds","EOd--s","Kaiserstuhl Granite","Granite, fine-grained, qtz+feld+bio+hbl; metasomatically altered to albitite. ?Syn-tectonic."
"EOdt","EOd--t","Taratap Granodiorite","Granodiorite, blue-grey, porphyritic (plagioclase), qtz-plag-microcline-bio-hbl. Comagmatic and metasedimentary enclaves. Biotite and microcline flow lineation. S-type, post-tectonic, 475+/-65 Ma (IR=0.7160)."
"EOdw","EOd--w","Cape Willoughby Granite","Granite, megacrystic.  I-type, syn-tectonic.  Age 508+/-7 Ma (U-Pb)."
"EOdy","EOd--y","Murray Bridge Granite","Granite, pale brown to pink-orange, massive, medium- to coarse-grained. A-type. Post-tectonic.  Age 471+/-12Ma (Rb-Sr, IR=0.7053)."
"EOl","EO-l","Larapinta Group","Sandstone, white, pale green, pink, fine to coarse-grained, quartz, rare heavy minerals, cross bedding, rare green shale partings, reworked shale clasts, ripple lamination; siltstone, grey, fossiliferous. Marine fossils, trace fossils."
"EOlp","EO-l-p","Pacoota Sandstone","Sandstone, white, pale green, pink, fine to coarse-grained, quartz, rare heavy minerals, cross bedding, rare green shale partings, reworked shale clasts, ripple lamination; siltstone, grey, fossiliferous. Marine fossils, trace fossils."
"EOs","EOds","Summerfield Intrusive Suite","Granodiorite; quartz diorite; microgranite, adamellite."
"EOsa","EOds-a","Tathra Quartz Diorite","Quartz-diorite, white-grey, medium-grained, equigranular, foliated, quartz-feldspar-biotite-hornblende.  Diorite xenoliths and schlieren.  Interlayers of Pfeiffer Adamellite.  ?Syn-tectonic."
"EOsp","EOds-p","Pfeiffer Adamellite","Adamellite, medium- to coarse-grained, equigranular, weakly foliated.  Interlayered with Tathra Quartz Diorite."
"EOst","EOds-t","Tepko Granodiorite","Granodiorite, blue-grey, coarse-grained, strongly foliated, quartz-microcline-biotite-hornblende with aligned pink microcline phenocrysts. ?S-type. ?Syn-tectonic."
"EOu","EO-u","Dullingari Group","Shale, black, pyritic; sandstone, grey, white; mudstone, grey, green."
"EOul","EO-u-l","Lycosa Formation","Shale; siltstone."
"EOun","EO-u-n","Narcoonowie Formation","Sandstone, feldspathic; shale."
"EP","EP","Palaeozoic rocks","Undifferentiated Palaeozoic rocks."
"EP1","EP------01","Palaeozoic unit 1","Sandstone, poorly sorted, partly to strongly silicified, with coarse mica and burrows; shale, silicified, sandy, micaceous. Weena 1."
"EP2","EP------02","Palaeozoic unit 2","Undifferentiated Palaeozoic granitoids."
"ES","ES","Cambrian-Silurian rocks","Undifferentiated Cambrian to Silurian rocks."
"ES1","ES------01","Cambrian-Silurian unit 1","Pegmatite, Mount Painter and Mount Babbage Inliers, undifferentiated, but associated with Delamerian Orogeny and/or British Empire Granite."
"Ea","E-oa","Kangaroo Island Group","Shallow marine mudstone, sandstone and conglomerate."
"Eaa","E-oa-a","Marsden Sandstone","Mudstone, buff, calcareous; sandstone, felspathic, slightly calcareous; mudstone with subordinate sandstone; sandstone, medium to coarse; gravel conglomerate."
"Eaar","E-oa-ar","Rouge Mudstone Member","Mudstone, buff, calcareous, burrowed."
"Eab","E-oa-b","Boxing Bay Formation","Sandstone, pink, grey; arkose, red-brown; polymict conglomerate, carbonate-cemented, clasts include micritic and archaeocyathid limestone, gneiss, granite, amphibolite, sandstone, quartzite."
"Eae","E-oa-e","Emu Bay Shale","Shale, flaggy, purple with abundant trilobite tracks and moulds; thin sandy limestone and burrow-mottled limestone bed at the base."
"Eam","E-oa-m","Mount McDonnell Formation","Siltstone, grey-green; mudstone, grey-black, variably calcareous. Archaeocyaths in oolitic limestone towards top."
