,SiteId,lat,lon,Cu,Mid_Depth,Lithology1,COLOUR1,DepthFrom,DepthTo,MagSus,SGFinal
45,94AC41,-29.72533277,135.6093073,10,102.2,MPT,,102,102.4,,
46,94AC42,-29.72058539,135.6113464,17.5,91.75,MSC,,90,93,,
47,94AC43,-29.72406406,135.6201561,31.5,101.75,MUS,,92,110,,
48,94ACD21,-29.63671899,135.4868714,127.8611111,93.06361111,MMR,,92.05,94.41,,
49,94ACD22,-29.69500287,135.4587573,1299.395604,111.4734615,MMR,,111.4,113.3,,
50,94ACD29,-29.64368068,135.4311152,487.2727273,89.21590909,IGR,,87.65,90.5,,
51,94ACD33,-29.69613991,135.4587832,1257.470588,120.0006863,MMR,,108.1,131.6,,
52,94ACD37,-29.70811766,135.5740544,10.77777778,87.25333333,BIF,,84.7,93.32,,
53,94ACD39,-29.6012085,135.705292,639.2,164.999,KCS,,163.86,168.1,,
54,94ACD40,-29.44110045,135.6570937,7.413793103,69.45931034,MGN,,56,71.25,,
55,95AC45,-29.34029417,135.5864024,46,38.5,IGR,,38,39,,
56,95AC46,-29.34570919,135.5864334,12,77.5,MGN,,62,79,,
57,95AC47,-29.35239675,135.5844113,7,56.5,MGN,,50,59,,
58,95AC48,-29.35021263,135.5885195,6,43.75,MGN,,43,44,,
59,95AC49,-29.35292014,135.5885351,24.5,55.75,IGR,,52,59,,
60,95AC50,-29.3523604,135.5926526,6,54.5,CLA,,52,55,,
61,95AC52,-29.34034792,135.574042,15,37.15,UNK,,37,37.3,,
62,95AC54,-29.34879645,135.5164011,160.5,65.875,KSN,,54,74,,
63,95AC55,-29.3514493,135.5071429,5.75,39.125,UNK,,32,42,,
64,95AC56,-29.35146878,135.5019921,79.33333333,41.83333333,MGN,,36,47,,
65,95AC57,-29.34644353,135.4942415,36.33333333,44.5,MGN,,40,48,,
66,95AC58,-29.30803239,135.5316419,24,45.5,CLA,,40,46,,
67,95AC61,-29.21520398,135.3552343,90.5,40,IGD,,30,50,,
68,95AC62,-29.202204,135.3207282,80.66666667,35.83333333,IGD,,30,41,,
69,95AC63,-29.18574972,135.2934209,45,29.75,IDR,,28,31,,
70,95AC64,-29.18737658,135.292397,55,34.83333333,CLA,,28,36,,
71,95AC67,-29.69280224,135.4504472,58,92.25,MUS,,80,94.5,,
72,95AC68,-29.69555979,135.4354712,36,89.5,MGN,,89,91,,
73,95AC69,-29.68924245,135.4354439,17,108.8,CLA,,101,109.2,,
74,95AC70,-29.67976643,135.4354031,21,136.95,CLA,,92,153,,
75,95AC72,-29.68374554,135.4597088,40.5,77.75,IGB,,75,81,,
76,95AC73,-29.68443756,135.4553193,17,130.5,IGB,,130,131,,
77,95AC77,-29.69093547,135.4682689,40,79.5,IGB,,78,82,,
78,95AC80,-29.37502734,135.5247767,148.2,52.25,IPG,,46,58,,
79,95AC81,-29.3703343,135.5247527,7,50.5,MGN,,50,51,,
80,95AC82,-29.36672426,135.5247342,34.33333333,45.91666667,CLA,,42,48,,
81,95AC83,-29.36176046,135.5247087,11,38,LSD,,38,40,,
82,95AC85,-29.34914144,135.5205234,18.5,44,IGR,,39,50,,
83,95AC86,-29.35321876,135.5164234,11,73,IGR,,68,74,,
84,95AC87,-29.34726218,135.5163933,32,55.625,MGN,,48,61,,
85,95AC88,-29.34420159,135.5143177,230,68.5,MGN,,68.5,69,,
86,95AC89,-29.34512778,135.5081417,11,47.85,MGN,,38,49.7,,
87,95AC90,-29.33968901,135.5142951,35,46,MGN,,42,50,,
88,95AC93,-29.21718232,135.420058,12,49.875,IGR,,48,51,,
89,95AC94,-29.22482641,135.3996138,10,115.175,LCV,,0,116,,
90,95AC95,-29.22482055,135.4015687,16.25,31.125,LCV,,0,38,,
91,95AC96,-29.23713655,135.4175669,93.5,45.25,MGN,,42,47,,
92,95AC97,-29.24568636,135.42532,25.75,47.875,IGR,,42,53,,
93,95ACD51,-29.35012238,135.588519,6.823529412,51.05823529,MGN,,43.7,60.28,,
94,95ACD59,-29.21501944,135.4190204,811.6984127,83.19984127,UNK,,80.85,89.79,,
95,95ACD60,-29.21969971,135.4231549,286.2222222,67.32037037,KSN,,67.18,67.89,,
96,95ACD65,-29.68221561,135.4452323,1005.821429,115.90375,MMR,,105.8,130.3,,
97,95ACD66,-29.68739615,135.4478391,1067.906977,104.4906977,BMG,,97.9,125.6,,
98,95ACD71,-29.68467996,135.4504109,1051.698113,108.499434,MMR,,106,109.1,,
99,95ACD74,-29.69484274,135.4606896,1244.872449,201.7217347,MMR,,176.9,203.1,,
100,95ACD75,-29.69702014,135.4573917,369.6266667,189.5002667,KSN,,183,192.9,,
101,95ACD76,-29.7006765,135.4699164,1057.716981,96.37735849,MMR,,87.42,100,,2.6865
102,95ACD78,-29.69155087,135.4600544,717.6666667,100.9863889,UNK,,100.6,106.6,,
103,95ACD84,-29.34879645,135.5164011,96.37931034,87.12189655,IGB,,86,89.6,,
104,95ACD91,-29.21528374,135.4210791,47.46666667,78.21666667,MMR,,78.1,79.8,,
105,95ACD92,-29.21565717,135.4171197,83.75,53.3875,IGR,,48,55.5,,
106,96AC118,-29.42490722,135.5322493,11.33333333,48,LSD,,30,54,,
107,96AC119,-29.42400472,135.5322446,17.16666667,54.375,LSD,,32,56,,
108,96AC120,-29.42133801,135.5219219,420,48.25,MGN,,48,48.5,,
109,96AC122,-29.46693114,135.5178236,7.666666667,28.33333333,MSC,,21,32,,
110,96AC123,-29.46784285,135.5154561,6.333333333,43.68333333,MSC,,28,48,,
111,96AC125,-29.69826638,135.4623591,536.1666667,87.75,MMR,,87,93,,
112,96AC126,-29.70050442,135.467538,120.6666667,83.5,CLA,,78,86,,
113,96ACD117,-29.42580972,135.532254,10.77777778,54.925,MUS,,52,66.3,,
114,96ACD121,-29.41764564,135.5425199,16.07692308,44.48269231,MGN,,37.4,51.3,,
115,97AC151,-29.69276489,135.4613003,149,70.875,LSD,,68,71,,
116,97AC152,-29.69095995,135.461292,23,70,LSD,,68,72,,
117,97AC153,-29.689155,135.4612838,15.3,83.95,LSD,,83,85,,
118,97AC154,-29.68735005,135.4612756,26.5,71.75,LSR,BRN,71,74,,
119,97AC155,-29.69099553,135.4509559,97.16666667,84.08333333,MSC,,80,90,,
120,97AC156,-29.68919058,135.4509479,413.9,100.1,LSR,GRY,100,101,,
121,97AC157,-29.68738563,135.4509398,319.5,103.75,MGN,GRN,102,107,,
122,97AC158,-29.68558068,135.4509318,166.3333333,84.33333333,LSR,BLU,83,86.5,,
123,97AC159,-29.69282837,135.4426949,180.6666667,98.05555556,MSC,GRY,92,104,,
124,97AC160,-29.69102342,135.442687,15,83,MPM,GRY,83,86,,
125,97AC161,-29.68921847,135.4426791,11.5,100,LSP,GRY,99,102,,
126,97AC162,-29.68741352,135.4426712,321.5,92.16666667,LSR,RED,90,96,,
127,97AC163,-29.69869947,135.4675296,265.8333333,76.58333333,LSP,GRY,74,79,,
128,97AC164,-29.69689453,135.4675213,25.28571429,95.89285714,SMT,BRN,94,101,,
129,97AC165,-29.69508958,135.4675129,14.75,84,LSD,GRY,81,87,,
130,97AC167,-29.69233865,135.4540628,12.625,84.25,MGN,GRY,84,87,,
131,97AC168,-29.6941436,135.454071,160.5,84,LSR,GRY,84,87,,
132,97AC169,-29.69594855,135.4540791,406.4285714,86.21428571,LSP,GRY,81,87,,
133,97AC170,-29.69100605,135.4478551,397.3333333,83,MUS,GRY,83,88,,
134,97AC171,-29.6892011,135.4478471,488.3333333,100.0833333,LSP,GRY,97,106,,
135,97AC172,-29.68515732,135.4426613,14,91.875,LSD,GRY,88,99,,
136,97AC173,-29.6905337,135.4540547,448.8,81.9,LSP,GRY,76,82,,
137,97RC128,-29.69593789,135.4571801,468.6666667,115.9583333,CLA,GRY,97,119,,
138,97RC129,-29.69503541,135.457176,593.3,57.6875,CLA,GRY,48,73,,
139,97RC130,-29.69413294,135.4571719,577.2272727,72.67045455,CLA,GRY,47,81,,
140,97RC131,-29.69323046,135.4571678,248.45,119.975,LSR,GRY,117,120,,
141,97RC132,-29.69232799,135.4571637,530.7142857,100.75,LSP,GRY,100,102,,
142,97RC133,-29.69142551,135.4571596,288.8,83.9,MGN,GRY,83,85,,
143,97RC134,-29.69052304,135.4571556,34.45454545,86.09090909,MAM,BRN,85,92,,
144,97RC136,-29.68826685,135.4571453,15.72727273,97.86363636,IGR,RED,91,102,,
145,97RC137,-29.69548665,135.457178,1162.105263,117.9210526,LSR,GRY,111,130,,
146,97RC138,-29.69597944,135.4582139,1863.75,105.6875,LSP,GRY,102,107,,
147,97RC139,-29.69629172,135.459249,1064.866667,110,MMR,PPL,104,114,,
148,97RC140,-29.69669425,135.4602845,805.7142857,93.78571429,MMR,RED,88,96,,
149,97RC141,-29.69434422,135.4613075,467,85.15384615,MMR,GRY,83,88,,
150,97RC142,-29.6952467,135.4613116,752.0714286,92,LSP,GRY,88,94,,
151,97RC143,-29.69614917,135.4613157,720.65,103.925,IGR,RED,102,104,,
152,97RC144,-29.69700652,135.4613197,577.875,99.8125,LSP,GRY,95,100,,
153,97RC145,-29.66996849,135.3940243,1690.304348,114,MGN,GRY,109,115,,
154,97RC146,-29.67168321,135.394031,1165.75,103.96875,MMR,GRY,103,107,,
155,97RC147,-29.6660878,135.3940092,27.3125,111.90625,LSP,GRY,102,117,,
156,97RC148,-29.66518532,135.3940056,18,94,LSD,GRY,86,104,,
157,97RC149,-29.67330768,135.3940373,19.15384615,110.1538462,LSP,GRY,94,135,,
158,97RC150,-29.67276619,135.3940352,74.09090909,102.0454545,MGN,GRY,90,123,,
159,98AC174,-29.69997384,135.4644344,32.85714286,75.92857143,LSP,GRY,75,77,,
160,98AC175,-29.69907137,135.4644302,95.5,69.75,CLA,GRY,46,70,,
161,98AC176,-29.6981689,135.4644261,583,79.25,CLA,GRY,45,80,,
162,98AC177,-29.69726642,135.4644219,324.75,72,LSP,GRY,72,73,,
163,98AC178,-29.69636395,135.4644178,260,74,LSP,GRY,72,75,,
164,98AC179,-29.69637118,135.4623504,660.8333333,80,BMG,GRY,78,86,,
165,98AC180,-29.69727366,135.4623546,436.5,75.75,CLA,GRY,39,76,,
166,98AC181,-29.6990786,135.4623628,57.33333333,74.83333333,MGN,GRY,74,77,,
167,98AC183,-29.70086175,135.4685734,14.5,66.25,CLA,GRY,44,67,,
168,98AC184,-29.69995928,135.4685692,37.5,72.5,CLA,GRY,42,73,,
169,98AC188,-29.70353965,135.4768558,3,69.5,CLA,GRY,38,70,,
170,98AC191,-29.69905681,135.468565,0,63.5,CLA,GRY,43,64,,
171,98AC192,-29.67756679,135.4178243,0,82.5,VMC,BRN,82,83,,
172,98AC195,-29.66948612,135.4043565,14.6,122,LSD,GRY,112,132,,
173,98AC196,-29.67490102,135.4043782,6,81.25,CLA,GRY,53,82,,
174,98AC197,-29.67219357,135.4043673,17,66.25,CLA,GRY,52,67,,
175,98AC198,-29.67491357,135.4002444,18,75.25,CLA,GRY,50,76,,
176,98AC200,-29.67493215,135.3940436,31.8,101.9,MSC,GRY,96,104,,
177,98AC201,-29.67405999,135.3837056,14,86.25,CLA,GRY,49,88,,
178,98AC202,-29.67135254,135.3836954,20,76.25,CLA,GRY,49,78,,
179,98AC203,-29.66864508,135.3836851,19,76.25,CLA,GRY,47,78,,
180,98AC204,-29.6605227,135.3836543,13.5,74.25,CLA,GRY,54,76,,
181,98AC205,-29.66233957,135.3795278,17.5,94.875,LCY,GRY,91,102,,
182,98AC206,-29.66414455,135.3795346,8,79.25,LSD,GRY,78,81,,
183,98AC207,-29.66775449,135.3795481,18,73.5,CLA,GRY,48,74,,
184,98AC208,-29.66955947,135.3795549,14,76.25,CLA,GRY,52,77,,
185,98AC209,-29.65693348,135.3764077,18.5,73.25,CLA,GRY,55,74,,
186,98AC210,-29.66274861,135.3939961,18.2,93.8,CLA,GRY,88,102,,
187,98AC212,-29.65913866,135.3939821,18.5,73.75,CLA,GRY,49,74,,
188,98AC213,-29.65733369,135.393975,16,74.25,CLA,GRY,52,75,,
189,98AC214,-29.65867041,135.3996634,10,71.25,CLA,GRY,43,72,,
190,98AC215,-29.65775382,135.4043096,19,72.25,CLA,GRY,50,73,,
191,98AC216,-29.66046128,135.4043204,19,76.25,CLA,GRY,49,77,,
192,98AC219,-29.68840306,135.4158019,16,77.5,CLA,GRY,51,78,,
193,98AC220,-29.68828105,135.453011,25.66666667,92.66666667,SMT,BRN,91,97,,
194,98AC221,-29.68737858,135.453007,20.5,76.25,CLA,GRY,41,78,,
195,98AC222,-29.6864761,135.4530029,23,75.25,CLA,GRY,39,76,,
196,98AC223,-29.68755554,135.4540413,38.66666667,79,MGN,GRY,79,84,,
197,98AC224,-29.68665306,135.4540373,23,57.5,CLA,GRY,40,58,,
198,98AC225,-29.683328,135.4498881,21,101,SMT,GRY,88,102,,
199,98AC226,-29.68334371,135.4452372,21.5,65.5,CLA,GRY,33,66,,
200,98AC227,-29.68144851,135.4452289,12,81.25,CLA,GRY,37,82,,
201,98AC228,-29.69173292,135.4464112,22.5,78.25,CLA,GRY,42,80,,
202,98AC229,-29.69326573,135.4468315,7.666666667,78.66666667,LSP,GRY,77,79,,
203,98AC230,-29.68735364,135.460242,20.5,72.75,CLA,GRY,46,73,,
204,98AC231,-29.6928047,135.4497236,64,68.25,CLA,GRY,43,69,,
205,98AC232,-29.69834213,135.4664943,18.5,63.25,CLA,GRY,47,65,,
206,98AC233,-29.6990641,135.4664976,93.33333333,82,MSC,GRY,74,90,,
207,98AC234,-29.69996658,135.4665018,23,67.66666667,MUS,GRY,66,72,,
208,98AC235,-29.70177152,135.4665101,92.5,65.5,CLA,GRY,36,66,,
209,98AC236,-29.70801437,135.487215,111.6666667,97.16666667,CLA,GRY,93,99,,
210,98AC237,-29.70981931,135.4872237,739.3333333,84.16666667,LSP,GRY,83,86,,
211,98AC238,-29.71162424,135.4872324,45.66666667,80.5,CLA,GRY,79,83,,
212,98AC239,-29.71342918,135.4872411,26,50.25,CLA,GRY,34,52,,
213,98AC241,-29.71068333,135.4975661,170,93.66666667,LSR,GRY,93,95,,
214,98ACD242,-29.66653289,135.3960777,1093.5,286.9985887,MMR,GRY,286.3,287,,
215,98ACD243,-29.69431308,135.4572761,793.2,193.6255814,BMG,RED,190,195.6,,
216,98RC244,-29.70242638,135.4727156,45.2,136,MGN,GRY,135,146,,
217,98RC245,-29.70075681,135.4727078,131.4285714,103.7857143,IGR,RED,102,104,,
218,98RC246,-29.69983952,135.4768384,14.57142857,139.7857143,SMT,GRY,132,140,,
219,98RC247,-29.70164446,135.4768469,13.2,141,SSH,GRY,131,146,,
220,98RC248,-29.70167398,135.4685771,40.93333333,93.9,UNK,GRY,88,94,,
221,98RC249,-29.69896656,135.4685646,56.4,89.9,MUS,GRY,89,98,,
222,98RC250,-29.69825188,135.4664939,72.11111111,111.9444444,MUS,GRY,111,116,,
223,99DD251,-29.66654643,135.6265198,133.7704918,221.5032787,MMR,GRY,217.1,232.8,,
224,99DD252,-29.66442998,135.6350834,153.9428571,110.72,IGB,GRY,101,113.7,,
225,99DD253,-29.65288235,135.6150697,1184.572917,132.0104167,IGR,RED,131.2,132.8,,
226,99DD254,-29.64604516,135.6103789,136.6470588,145.7529412,IDO,GRY,142.2,146.6,,
227,99DD255,-29.62814034,135.5983918,160.8378378,74.4972973,MUS,GRY,73.5,74.5,,
228,99DD256,-29.62365353,135.5926842,97.55555556,85.70555556,IGR,RED,84.3,91.2,,
229,99DD257,-29.63265358,135.5982119,1063.752475,175.5054455,MTS,GRN,173.7,177.5,,
230,99DD258,-29.63517954,135.5984334,1159.777778,180.0106481,MUS,GRN,179.9,183,,
231,99DD259,-29.65073937,135.6100973,291.3611111,244.8888889,MUS,GRY,243.9,245.1,,
232,99DD260,-29.65468726,135.6150807,950.6818182,153.0159091,IGR,GRY,150,153.4,,
233,ABT001,-29.57008537,135.6018897,132.5,60.25,MGN,GRY,60,63,3.6,
234,ABT002,-29.57080384,135.6026682,143,62,MGN,GRY,60,67,1.595,
235,ABT003,-29.57080384,135.6026682,65,63,MGN,GRY,62,68,1.74,
236,ABT004,-29.50440963,135.5543514,14.16666667,36,BIF,RED,28,48,17.13083333,
237,ABT005,-29.50440231,135.5561053,15.76923077,33,BIF,YEL,30,44,103.4246154,
238,ABT006,-29.50439799,135.557137,23.92307692,35,MGN,GRY,28,48,1.226923077,
239,ABT007,-29.46832847,135.5497202,15.8,38,MGN,GRN,30,48,1.333,
240,ABT008,-29.46832335,135.5509578,20.38461538,39,MGN,WHT,38,42,245.66,
241,ABT009,-29.4683178,135.5522985,49.27272727,35,MSC,YEL,34,36,1.658888889,
242,ABT010,-29.38992295,135.5214729,57.2,42,MSC,MUV,42,44,3.833,
243,ABT011,-29.38991892,135.5225035,31.45454545,44.95454545,MSC,GRN,44,55,1.458181818,
244,ABT012,-29.38991487,135.523534,32.25,42,MSC,KHA,38,44,1.51875,
245,ABT013,-29.3905183,135.5529083,15,40.83333333,GOS,RED,40,43,7.65,
246,ABT014,-29.38889379,135.5528995,41.6,45,CLA,WHT,44,46,1.814,
247,ABT015,-29.38799129,135.5528946,40.77777778,48.94444444,MGN,GRY,44,57,1.283333333,
248,ABT016,-29.34688535,135.4429635,34.75,42,MGN,BLU,42,50,1.2725,
249,ABT017,-29.34688877,135.4419334,118.1666667,39.91666667,MGN,BLU,35,40,10.99666667,
250,ABT018,-29.34689218,135.4409032,31.54545455,43,MGN,BLU,42,54,11.74727273,
251,ABT021,-29.32650434,135.3089837,69.625,38,MGN,GRY,34,46,1.415,
252,ABT022,-29.32740688,135.3089864,137.6666667,37,MSC,BLU,32,43,15.89222222,
253,ABT023,-29.32830942,135.3089891,66.22222222,35,MGN,GRY,30,44,4.677777778,
254,ABT025,-29.31671229,135.409415,37,58,IPG,BLU,58,60,2.335,
255,ABT026,-29.3181161,135.4078243,25,58.83333333,IPG,WHT,57,61,0.943333333,
256,ABT027,-29.36996269,135.609982,28,54,IGR,RED,54,58,2.3575,
257,ABT028,-29.36860894,135.609974,109.1666667,54,MGN,GRN,52,60,1.745,
258,ABT029,-29.3674357,135.609967,22.25,49.875,MSC,BLU,48,50,1.61,
259,ABT030,-29.41577976,135.5968549,47.5,43.525,SMT,GRY,32,44,15.67,
260,ABT031,-29.41577537,135.5978341,70.6,28.9,KCS,GRN,26,33,1.298,
261,ABT032,-29.41576958,135.5991226,83.66666667,24.83333333,KCS,GRN,24,27,1.433333333,
262,ABT033,-29.45265853,135.604392,82.42857143,41,MSC,BLU,36,46,1.355714286,
263,ABT034,-29.45193279,135.6052127,43.6,34.9,BIF,RED,32,39,2.366,
264,ABT035,-29.45120705,135.6060333,41.28571429,38.92857143,MSC,GRY,33,42,1.212857143,
265,ARMN1,-29.58632059,135.6254557,17.07692308,173.938,MGN,,166,174.6,89.46100694,2.793780488
266,BALTA_1,-29.22388351,135.4977572,7.944897959,49,SST,GRY,20,98,,
267,BALTA_6,-29.3433252,135.4360052,47.59166667,59.99166667,SMT,GRY,40,64,,
268,BLZ1,-29.6077309,135.710842,50.54216867,289.9819277,MGN,,278.2,296.3,,
269,COMP_1,-29.30038794,135.5470675,17.71333333,30,SST,GRY,16,38,,
270,DAR001,-29.71232606,135.4652356,42.87387387,188.9977477,SLM,GRY,156.8,190.1,5,
271,DBD001,-29.70451292,135.5272253,153.7216495,170.9969072,MMB,GRN,144.7,267,1.128453608,3.15757732
272,DD06PHE001,-29.7192911,135.5862354,1247.814159,407.6889381,SST,CRM,369.9,415.3,0.596785714,2.826226804
273,DD06PHE003,-29.72041916,135.5862419,639.0300752,338.1827068,SST,PPL,319.1,340.45,1.26634981,2.806230769
274,DD06PHE004,-29.71752673,135.587259,204.7117117,240.8432432,SLM,GRY,239.2,241.4,12.03634259,2.828674419
275,DD07TUR001,-29.65151331,135.6164252,221.03,339.885,IFS,GRN,338.8,347,135.1285983,3.21313798
276,DD07TUR002,-29.65032856,135.6188977,175.38,440.33875,MMR,GRN,436.87,443.32,146.1299473,3.220764912
277,DD09CAL010,-29.72843188,135.6110898,183.9283154,290.1820789,MUS,GRN,289.7,291,0.587764228,2.933245383
278,DD09CLS001,-29.57456263,135.5017704,7.424324324,226.1234234,KSC,GRN,211,271.6,1.4072,2.964294118
279,DD09CLS002,-29.57505113,135.5156075,6.932758621,185.0461782,KCS,GRN,152.6,187.8,4.785743243,3.013194757
280,DD09EUR001,-29.57597322,135.4864971,11.95327869,245.642623,KCS,GRN,239.6,251,0.972107623,2.955355164
281,DD09JUL001,-29.70211767,135.6391405,103.3698529,303.8071691,IPG,ORA,283.8,311.05,11.51282787,2.769766454
282,DD09KND002,-29.54840463,135.4335177,9.707009346,218.7560748,IDR,GRY,208.9,273.2,5.967437186,2.904226562
283,DD09LAR004,-29.71852436,135.6659706,67.48308458,236.3475124,MGN,BLU,199.5,276.2,0.869870968,2.73707947
284,DD09LAR005,-29.72588177,135.6652401,116.0257212,444.4798077,MPH,GRY,202,507,8.071409214,2.852992987
285,DD09LAR006,-29.73606668,135.6555944,93.19442509,309.9663763,VAN,BRN,303.4,318.5,1.190790514,2.81842562
286,DD09NEP006,-29.73604729,135.6162855,91.75031646,338.2147152,VAN,BRN,331.7,348.3,10.88309609,2.871485401
287,DD09NWL001,-29.76549202,135.6325148,807.1012438,283.6988806,ILM,GRN,282.9,287.2,62.16927114,2.95751532
288,DD09PHS001,-29.77757249,135.5697638,406.0808023,358.2970774,VBS,GRN,338.7,363.9,3.823016393,2.779
289,DD09PRT004,-29.73061225,135.6424171,154.7840909,293.5617898,VSS,RED,274.5,318,1.104713376,2.893243986
290,DD09TRI005,-29.74770962,135.6370762,463.3918149,239.6129537,FTZ,GRN,233.5,242.6,6.742195122,2.758917808
291,DD09TRI007,-29.74420186,135.6281766,412.2644951,328.8019544,VAN,BRN,317,334,19.64903346,2.890304762
292,DD09TUR003,-29.64373441,135.6139994,32.80833333,54,SCH,BLK,39,57,,
293,DD09ZEU001,-29.61547613,135.58269,43.27016575,207.2444751,IGN,GRY,136.5,251.9,14.40274074,3.024735772
294,DD09ZEU002,-29.61350124,135.5719579,32.06043956,117.3384615,IGB,GRN,116.3,213.6,20.62846154,2.789704082
295,DD09ZEU003,-29.62029203,135.571015,177.9105788,281.1197605,IGR,RED,262,285.4,14.69549587,2.726294118
296,DD10BBD001,-29.64910721,135.3275227,55.32045455,163.0530303,IGR,RED,160.8,164.5,14.14965116,2.923824242
297,DD10BDK001,-29.70291879,135.5229755,93.03699732,382.288874,KCS,GRN,376.3,382.3,30.03622419,3.033934272
298,DD10BDK002,-29.70552722,135.5231892,163.3741935,201.8012903,KCS,GRN,170.3,226.5,4.684049587,3.014563636
299,DD10BDK003,-29.70369767,135.5278027,91.75391304,364.6283696,IIN,GRY,347.6,389.4,4.2681,2.951888889
300,DD10CRD005,-29.70565326,135.4618208,91.64565826,316.4677871,SLM,GRY,308.7,319.2,1.604968944,2.812617647
301,DD10CRD006,-29.70331658,135.45297,138.5977273,331.063474,SLM,PNK,299.5,335.8,1.17011194,2.799335664
302,DD10CRD007,-29.69835868,135.4585758,41.60098039,326.0982026,SLL,CRM,310,379.1,1.987548638,2.820763359
303,DD10CRD008,-29.71190211,135.4596877,122.2219136,332.3671296,MMP,GRN,328.2,364.5,4.393564014,2.957528986
304,DD10CRD009,-29.71426681,135.4597017,135.693617,306.9986879,SLM,PNK,302.3,307,5.88045082,2.785509677
305,DD10CRD010,-29.70005132,135.4639972,48.80578512,270.4683884,MPL,GRY,253.1,274.6,1.76453202,2.811021277
306,DD10DAN001,-29.77348552,135.9341314,14.65483871,93,LSD,GRY,66,105,0.513984375,
307,DD10DNH001,-29.74290885,135.9061211,114.8504076,526.4183424,IFS,PNK,523.8,533.3,2.395865672,2.882574074
308,DD10EPS001,-29.70908147,135.4900283,513.0102564,206.2025641,KSC,GRN,198.9,217.9,56.13519149,2.997238494
